id,char,dialog,movie
75,SARUMAN,"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I? ",The Return of the King 
76,THEODEN,We shall have peace'. We shall have peace when you answer for the     burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!  ,The Return of the King 
77,SARUMAN,Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!  ,The Return of the King 
78,GANDALF,Your treachery has already cost many lives. Thousands more are now at     risk. But you could save them Saruman. You were deep in the enemy's counsel.     ,The Return of the King 
79,FRODO,    I'm sorry uncle. I'm afraid I lost it.  ,The Return of the King 
80,BILBO,"    Oh, pity. (He sighs.) I would have like to have held it one last time.  ",The Return of the King 
81,BILBO,    Oh! Well here is a sight I have never seen before.  ,The Return of the King 
82,GALADRIL,    The power of the three rings is ended. The time has come for the dominion of     men.  ,The Return of the King 
83,ELROND,     I Aear c'n ven na mar.  ,The Return of the King 
84,BILBO,    I think I'm quite ready for another adventure.  ,The Return of the King 
85,GANDALF,"    Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo.     ",The Return of the King 
86,SAM,    What does he mean?  ,The Return of the King 
87,FRODO,"    We set out to save the Shire Sam and it has been saved, but not for me.  ",The Return of the King 
88,SAM,"    , You don't mean that. You can't     leave. ",The Return of the King 
89,FRODO,    The last pages are for you Sam.  ,The Return of the King 
90,SARUMAN,"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.  ",The Return of the King 
91,GIMLI,I've heard enough! Shoot him! Stick an arrow in his gob!  ,The Return of the King 
92,GANDALF,No! Come down Saruman and your life will be spared!  ,The Return of the King 
93,SARUMAN,Save your pity and your mercy. I have no use for it!    ,The Return of the King 
94,GANDALF,Saruman'.. your staff is broken!  ,The Return of the King 
95,THEODEN,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.  ,The Return of the King 
96,SARUMAN,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!  ,The Return of the King 
97,THEODEN,Grima'. Come down! Be free of him!  ,The Return of the King 
98,SARUMAN,Free? He will never be free! ,The Return of the King 
99,GRIMA,No!  ,The Return of the King 
100,FRODO VOICE OVER,"    My dear Sam, you cannot always be torn in two. , You will     have to be one and whole for many years. You have so much to enjoy and to be     and to do. Your part in the story will go on.  ",The Return of the King 
101,SAM,"    Well, I'm back. ",The Return of the King 
102,PIPPIN,     I didn't think it would end this way.   ,The Return of the King 
103,GANDALF,"  End?  No, the journey doesn't end here.  Death is just another path, one that we all must take.    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.     ",The Return of the King 
104,PIPPIN,  What?  Gandalf?  See what?     ,The Return of the King 
105,GANDALF,"  White shores and beyond,  a far green country under a swift sunrise.      ",The Return of the King 
106,PIPPIN,"  Well, , that's not  so bad.     ",The Return of the King 
107,GANDALF,  No.  No it isn't.     ,The Return of the King 
108,THEODEN,  Rally to me!  To meeee!      ,The Return of the King 
109,WITCH KING,     Feast on his flesh.     ,The Return of the King 
110,EOWYN,     I will kill you if you touch him.     ,The Return of the King 
111,EOWYN,     The City has fallen silent.  There is no warmth left in the sun.       ,The Return of the King 
112,EOWYN,  It grows so cold.     ,The Return of the King 
113,FARAMIR,  It's just the damp of the first spring rain.      ,The Return of the King 
114,FARAMIR,  I do not believe this darkness will endure.      ,The Return of the King 
115,SAM,"  Look!  The Orcs, they're moving off!      ",The Return of the King 
116,SARUMAN,Get down cur! ,The Return of the King 
117,GRIMA,Ah!  ,The Return of the King 
118,GANDALF,Saruman! You were deep in the enemy's counsel. Tell us what you know!  ,The Return of the King 
119,SARUMAN,You withdraw your guard and I will tell you where your doom will be     decided. I will not be held prisoner here!  ,The Return of the King 
120,GANDALF,Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.  ,The Return of the King 
121,TREEBEARD,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.  ",The Return of the King 
122,ARAGORN,Pippin! ,The Return of the King 
123,TREEBEARD,Bless my bark!  ,The Return of the King 
124,GANDALF,Peregrin Took. I'll take that my lad! Quickly now!  ,The Return of the King 
125,WITCH KING,  Do not come between the Nazg'l and his prey.     ,The Return of the King 
126,ORC,"  Late as usual, pirate scum. ,  There's knifework here needs doing. Come on you sea rats, get off your ships.      ",The Return of the King 
127,GIMLI,"  There's plenty for the both of us, may be best Dwarf win!      ",The Return of the King 
128,WITCH KING,  You fool!  No man can kill me.  Die now!    ,The Return of the King 
129,EOWYN,  I am no man!      ,The Return of the King 
130,SAM,  You see Mr Frodo some luck at last!     ,The Return of the King 
131,ORC,"  Move it, you slugs!      ",The Return of the King 
132,ORC,  Come on!  Faster!      ,The Return of the King 
133,ORC,"  Come along you scum! ,  I'll whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!      ",The Return of the King 
134,ORC,"  To the gate you slugs, now move it! ,  Don't you know we're at war?      ",The Return of the King 
135,ORC,  Company halt!  Inspection!      ,The Return of the King 
136,FRODO,  Sam!  Help me!      ,The Return of the King 
137,SAM,  Mr Frodo!      ,The Return of the King 
138,SAM,  Stand up Mr Frodo.  Stand up!     ,The Return of the King 
139,FRODO,  It's so heavy!      ,The Return of the King 
140,SAM,"  Oh no!  What do I do? ,  What do I do?      ",The Return of the King 
141,FRODO, Hit me!  Hit me Sam!  Start fighting!      ,The Return of the King 
142,SAM,"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!      ",The Return of the King 
143, GANDALF,      Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.  ,The Return of the King 
144,SOLDIERS ON GATE,"    Come on, come on!  ",The Return of the King 
145,GOTHMOG,    Move into the city. Kill all in your path.  ,The Return of the King 
146,ORC,  Break it up!  Break it up!     ,The Return of the King 
147,GENERAL,  Oy!  I'll have your guts if you don't shut this rabble down!      ,The Return of the King 
148,FRODO,     Go Sam.  Now!      ,The Return of the King 
149,GENERAL,  Move along scum!      ,The Return of the King 
150,CAPTAIN,  Get back in the line you maggots!  Get back in the line you slugs!      ,The Return of the King 
151,FRODO,  I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.         ,The Return of the King 
152,SOLDIER,    Take them down!  ,The Return of the King 
153,GANDALF,    Fight! Fight to the last man. Fight for your lives.  ,The Return of the King 
154,PIPPIN,"    Gandalf! ,     Gandalf! Denethor has lost his mind. He's burning Faramir alive!  ",The Return of the King 
155,GANDALF,    Up! Quickly!  ,The Return of the King 
156,GANDALF,"    ,     Go back to the abyss! Fall into the nothingness that awaits you and your     master!  ",The Return of the King 
157,WITCH KING,"    Do you not know death when you see it, old man? , This is my hour!     ",The Return of the King 
158,PIPPIN,     Gandalf!  ,The Return of the King 
159,PIPPIN,"    AAAAhhh! ,  ",The Return of the King 
160,WITCH KING,    You have failed! The world of men will fall.  ,The Return of the King 
161,SAM,"    ,  We're going that way, straight as we can.  There's no point carrying anything we're not sure to need.      ",The Return of the King 
162,SAM,"  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch.      ",The Return of the King 
163,SAM,"  Take mine. ,  There's a few drops left.      ",The Return of the King 
164,FRODO,  There will be none left for the return journey.      ,The Return of the King 
165,SAM,  I don't think there will be a return journey Mr Frodo.      ,The Return of the King 
166,SAM,"  Frodo, get down! ,  Hide!      ",The Return of the King 
167,SAM,     Frodo!      ,The Return of the King 
168,PIPPIN,  Where are they?     ,The Return of the King 
169,ARAGORN,"  Let the Lord of the Black Land come forth! ,  Let justice be done upon him!      ",The Return of the King 
170,MOUTH OF SAURON,  My master Sauron the Great bids thee welcome.      ,The Return of the King 
171,MOUTH OF SAURON, Is there any in this rout with authority to treat with me?     ,The Return of the King 
172,GANDALF,"  We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return.      ",The Return of the King 
173,EOWYN,    Courage Merry. Courage for our friends.  ,The Return of the King 
174,GOTHMOG,"    Form ranks you maggots. Form ranks. Pikes in front, archers behind.     ",The Return of the King 
175,THEODEN,"    Eomer, take your Eored down the left flank ",The Return of the King 
176,EOMER,    Flank ready! ,The Return of the King 
177,THEODEN,"    Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness!     , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!! ",The Return of the King 
178,EOWYN,"    Whatever happens, stay with me. I'll look after you.  ",The Return of the King 
179,THEODEN,"    Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH! ",The Return of the King 
180,ARMY,    DEATH!  ,The Return of the King 
181,THEODEN,    DEATH!  ,The Return of the King 
182,ARMY,    DEATH!  ,The Return of the King 
183,THEODEN,    DEATH!  ,The Return of the King 
184,THEODEN,    DEATH!  ,The Return of the King 
185,MOUTH OF SAURON,  Aha!  Old Greybeard!  I have a token I was bidden to show thee.      ,The Return of the King 
186,PIPPIN,  Frodo!     ,The Return of the King 
187,PIPPIN,  Frodo!     ,The Return of the King 
188,GANDALF,  Silence!     ,The Return of the King 
189,MERRY,  No!      ,The Return of the King 
190,GANDALF,  Silence!     ,The Return of the King 
191,MOUTH OF SAURON,"  The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who would've thought one so small could endure so much pain?  And he did Gandalf, he did.      ",The Return of the King 
192,ARAGORN,    You may go no further.  ,The Return of the King 
193,ARAGORN,You will not enter Gondor ,The Return of the King 
194,BOSON,Who are you to deny us passage?  ,The Return of the King 
195,ARAGORN,"Legolas, fire a warning shot past the boson's ear.  ",The Return of the King 
196,GIMLI,Mind your aim. ,The Return of the King 
197,GIMLI,"Oh! , That's     it, right, we warned you! Prepare to be boarded!  ",The Return of the King 
198,MERCENARY,"Boarded, by you and whose army?  ",The Return of the King 
199,EOWYN/MERRY,    DEATH!  ,The Return of the King 
200,THEODEN,    Forth Eorlingas!  ,The Return of the King 
201,GOTHMOG,    FIRE! ,The Return of the King 
202,MERRY,    DEEEEAAATH! ,The Return of the King 
203,THEODEN,    CHAAAAARGE!  ,The Return of the King 
204,GOTHMOG,    Fire at will!  ,The Return of the King 
205,DENETHOR,    Set a fire in our flesh!  ,The Return of the King 
206,GANDALF,    Stay this madness!  ,The Return of the King 
207,DENETHOR,"    You may triumph in the field of battle for a day, but against the power that     has risen in the east, there is no victory!  ",The Return of the King 
208,DENETHOR,"    NOOOOOO, you will not take my son from me!  ",The Return of the King 
209,PIPPIN,    NO! Aaahhh ,The Return of the King 
210,DENETHOR,    Faramir!  ,The Return of the King 
211,DENETHOR,    Aaaaaahhhh!  ,The Return of the King 
212,GANDALF,"    So passes Denethor, son of Ecthelion.  ",The Return of the King 
213,MOUTH OF SAURON, And who is this?  Isildur's heir?  It takes more to make a King than a broken Elvish blade.      ,The Return of the King 
214,GIMLI,  I guess that concludes negotiations.      ,The Return of the King 
215,ARAGORN,     I do not believe it.  I will not.     ,The Return of the King 
216,ARAGORN,This army.  ,The Return of the King 
217,GOLLUM,In there.  ,The Return of the King 
218,FRODO, What is this place?  ,The Return of the King 
219,GOLLUM,Master must go inside the tunnel.  ,The Return of the King 
220,FRODO,Now that I'm here I don't think I want to.  ,The Return of the King 
221,GOLLUM,It's the only way. Go in' or go back.  ,The Return of the King 
222,FRODO,I can't go back.  ,The Return of the King 
223,FRODO,What's that smell. ,The Return of the King 
224,GOLLUM,Orcses' filth. Orcses come in here sometimes.  ,The Return of the King 
225,GOLLUM,Hurry! This way. ,The Return of the King 
226,FRODO,Smeagol?  ,The Return of the King 
227,GOLLUM,Over here.  ,The Return of the King 
228,FRODO,"Ah aah! Its sticky, what is it?  ",The Return of the King 
229,GOLLUM," You'll see. Oh yes, you     will see. ",The Return of the King 
230,EOMER,"  Drive them to the river. ,     ",The Return of the King 
231,THEODEN,"  Make safe the city.,     ",The Return of the King 
232,THEODEN,"  Re-form the line!  Re-form the line!,     ",The Return of the King 
233,THEODEN,"  Sound the charge.  Take them head-on. Chaaarge! ,     ",The Return of the King 
234,ROHIRRIM,"  Cut him down! ,     ",The Return of the King 
235,EOWYN,"  Take the reins, pull him left. ,  LEFT! ,     ",The Return of the King 
236,EOMER,"  Aim for the heads! ,     ",The Return of the King 
237,THEODEN,"  Bring it down! Bring it down!  Bring it down!,     ",The Return of the King 
238,EOWYN,"  Merry! ,     ",The Return of the King 
239,FRODO,Smeagol? (shouts) SMEAGOL! SMEAGOL!  ,The Return of the King 
240,FRODO,Sam.  ,The Return of the King 
241,SAM,Ow!  ,The Return of the King 
242,GALADRIEL VOICEOVER,"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out.  ",The Return of the King 
243,FRODO,Aiya E'rendil Elenion Ancalim'  ,The Return of the King 
244,GOLLUM,"Naughty little fly. Why does he cry? ,Caught in a web. Soon     you'll be eaten.  ",The Return of the King 
245,GOLLUM,Got away did it precious? Not this time. Not this time.     ,The Return of the King 
246,FRODO,NO! ,The Return of the King 
247,SMEAGOL,"It wasn't us. It wasn't us. ,Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it.  ",The Return of the King 
248,FRODO,"I have to destroy it Smeagol. , I have to destroy it for both our sakes.  ",The Return of the King 
249,GOLLUM,"NO! , Aaaaaaaaa. ",The Return of the King 
250,FRODO,I'm so sorry Sam.     I'm so sorry.  ,The Return of the King 
251,GIMLI,What kind of army would linger in such a place?  ,The Return of the King 
252,LEGOLAS,"One that is cursed. Long ago the men of the mountains swore an oath to     the last King of Gondor , to come to his aid, to fight. But when     the time came, when Gondor's need was dire, they fled vanishing into the     darkness of the mountain. And so Isildur cursed them, never to rest until     they had fulfilled their pledge. Who shall call them from the grey twilight,     the forgotten people? The heir of him to whom the oath they swore. From the     North shall he come, need shall drive him. He shall pass the door to the     Paths of the Dead.  ",The Return of the King 
253,GIMLI,The very warmth of my blood seems stolen away.  ,The Return of the King 
254,LEGOLAS,"The way is shut. It was made by those who are dead , and the dead keep it. The     way is shut.  ",The Return of the King 
255,ARAGORN,Brego!  ,The Return of the King 
256,ARAGORN,I do not fear death! ,The Return of the King 
257,GALADRIEL,"This task was appointed to you, Frodo of the Shire. If you do not find a     way, no one will.  ",The Return of the King 
258,EOMER,"The scouts report Minas Tirith is surrounded. The lower level's in flames. Everywhere, legions of the enemy advance.  ",The Return of the King 
259,THEODEN,Time is against us. Make ready! ,The Return of the King 
260,EOWYN,"Take heart Merry. , It will soon be over ",The Return of the King 
261,MERRY,"My lady. You are fair and brave and have much to live for    , and many who love you. I     know it is too late to turn aside. I know there is not much point now in     hoping. If I were a knight of Rohan capable of great deeds'but I'm not. I'm a Hobbit. And I know I can't save Middle Earth. I just want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could see them again. ",The Return of the King 
262,EOMER,Prepare to move out!  ,The Return of the King 
263,THEODEN,Make haste. We ride through the night.  ,The Return of the King 
264,EOWYN,To battle ,The Return of the King 
265,MERRY,To battle ,The Return of the King 
266,GANDALF,Back to the gate! Hurry! ,The Return of the King 
267,GIMLI,"Well this is a thing unheard of. An elf will go underground, where a     dwarf dare not. Oh. Oh, I'd never hear the end of it.  ",The Return of the King 
268,THEODEN,We must ride light and swift. It is a long road ahead and man and beast     must reach the end with the strength to fight.  ,The Return of the King 
269,THEODEN,Little Hobbits do not belong in war Master Meriadoc.  ,The Return of the King 
270,MERRY,All my friends have gone to battle. I would be ashamed to be left     behind.  ,The Return of the King 
271,THEODEN,It is a three-day gallop to Minas Tirith and none of my riders can bear     you as a burdon.  ,The Return of the King 
272,MERRY, I want to fight! ,The Return of the King 
273,THEODEN,I will say no more.  ,The Return of the King 
274,EOWYN,Ride with me!  ,The Return of the King 
275,MERRY,My lady!  ,The Return of the King 
276,EOMER,"Form up, move out! Form up, move out!  ",The Return of the King 
277,THEODEN, Ride! Ride now to Gondor. ,The Return of the King 
278,GIMLI,What is it? What do you see?  ,The Return of the King 
279,LEGOLAS,I see shapes of men and of horses. ,The Return of the King 
280,GIMLI,Where?  ,The Return of the King 
281,LEGOLAS,"Pale banners like shreds of cloud. , Spears rise     like winter thickets through a shroud of mist. The dead are following. They     have been summoned.  ",The Return of the King 
282,GIMLI," The dead?     Summoned? I knew that! Huh. Huh. , Very good. Very good. , Legolas!  ",The Return of the King 
283,ARAGORN,Do not look down.  ,The Return of the King 
284,KING OF THE DEAD,Who enters my domain? ,The Return of the King 
285,ARAGORN,One who will have your allegiance.  ,The Return of the King 
286,KING OF THE DEAD,The dead do not suffer the living to pass.  ,The Return of the King 
287,ARAGORN,You will suffer me!  ,The Return of the King 
288,KING OF THE DEAD,The way is shut! It was made by those who are dead. And the dead keep     it. (The Ghostly army closes around them) The way is shut! Now you must die!     ,The Return of the King 
289,ARAGORN, I summon you to     fulfil your oath!  ,The Return of the King 
290,KING OF THE DEAD,None but the King of Gondor may command me!  ,The Return of the King 
291,SOLDIER,"Make way for the King!  Make way, the King is here ",The Return of the King 
292,SOLDIER,My lord!  ,The Return of the King 
293,SOLDIER, Hail to you sire!   ,The Return of the King 
294,GRIMBOLD, I bring 500 men from the Westfold my lord.   ,The Return of the King 
295,SOLDIER,"We have 300 more from Fenmarch, Theoden King.   ",The Return of the King 
296,KING OF THE DEAD,That blade was broken! ,The Return of the King 
297,ARAGORN,"It has been remade. ,     Fight for us and regain your honour. What say you? ,What say you? ",The Return of the King 
298,GIMLI,Ach! You waste your time Aragorn. They had no honour in life and they     have none now in death.  ,The Return of the King 
299,ARAGORN,"I am Isildur's heir. Fight for me and I will hold your oaths fulfilled.    ,What say you?     ",The Return of the King 
300,ARAGORN,"You have my word! Fight and I will release you from this living death!    , What say you?  ",The Return of the King 
301,GIMLI,Stand you traitors!  ,The Return of the King 
302,ARAGORN,Out!  ,The Return of the King 
303,ARAGORN,Legolas! Run!  ,The Return of the King 
304,KING OF THE DEAD,We fight!  ,The Return of the King 
305,SOLDIER,"Open the gate, quick!  ",The Return of the King 
306,IROLAS,Quick! Hurry!  ,The Return of the King 
307,DENETHOR,Faramir! Say not that he has fallen.  ,The Return of the King 
308,IROLAS,They were outnumbered! None survived.  ,The Return of the King 
309,GOTHMOG,Fear. The city is rank with it! Ha ha ha ha. Let us ease their pain.     Release the prisoners!  ,The Return of the King 
310,THEODEN,Where are the riders from Snowbourn?   ,The Return of the King 
311,SOLDIER,None have come my lord.   ,The Return of the King 
312,THEODEN,"Six thousand spears, less than half of what I had hoped for. ",The Return of the King 
313,ARAGORN,Six thousand will not be enough to break the lines of Mordor.   ,The Return of the King 
314,THEODEN,  More will come     ,The Return of the King 
315,ARAGORN,"Every hour lost hastens Gondor's defeat.  ,  We have until dawn then we must ride.   ",The Return of the King 
316,LEGOLAS,The horses are restless and the men are quiet. ,The Return of the King 
317,EOMER,They grow nervous in the shadow of the mountain.   ,The Return of the King 
318,GIMLI,That road there where does that lead?   ,The Return of the King 
319,LEGOLAS," It is the road to the Dimholt, the door under the mountain.   ",The Return of the King 
320,ORC,"Catapults! , ha ha ha.     ",The Return of the King 
321,DENETHOR,"My sons are spent! ,     My line has ended!  ",The Return of the King 
322,PIPPIN,He's alive!  ,The Return of the King 
323,DENETHOR, The     house of Stewards has failed.  ,The Return of the King 
324,PIPPIN,He needs medicine my lord!  ,The Return of the King 
325,DENETHOR,My line has ended!  ,The Return of the King 
326,PIPPIN,My lord! ,The Return of the King 
327,DENETHOR,Rohan has deserted us!  ,The Return of the King 
328,DENETHOR,"Theoden's betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES! ",The Return of the King 
329,GANDALF,Prepare for battle. Hurry men! To the wall! Defend the wall! Over here!     Return to your posts. ,The Return of the King 
330,GANDALF,Send these foul beasts into the Abyss.  ,The Return of the King 
331,GOTHMOG,Stay where you are! ,The Return of the King 
332,SOLDIER,We need more rubble! ,The Return of the King 
333,EOMER,None who venture there ever return.  That mountain is evil.   ,The Return of the King 
334,GIMLI,"Aragorn!  ,      Let's find some food.   ",The Return of the King 
335,EOWYN,There.  A true esquire of Rohan.   ,The Return of the King 
336,MERRY,"I'm ready!  , Sorry.  It isn't all that dangerous.  It's not     even sharp.   ",The Return of the King 
337,EOWYN,"To the smithy, go!   ",The Return of the King 
338,EOMER,     You should not encourage him. ,The Return of the King 
339,EOWYN,You should not doubt him.   ,The Return of the King 
340,EOMER,"I do not doubt his heart, only the reach of his arm.      ",The Return of the King 
341,EOWYN,Why should Merry be left behind?  He has as much cause to go to war as     you.  Why can he not fight for those he loves?   ,The Return of the King 
342,EOMER,"You know as little of war as that Hobbit.   When the fear takes him    , and the blood and the     screams and the horror of battle take hold.  Do you think he would stand and     fight?  He would flee.  And he would be right to do so.     ,  War is the     province of men Eowyn.   ",The Return of the King 
343,SOLDIER,Sir?  King Theoden awaits you my lord.   ,The Return of the King 
344,SOLDIER,Watch out!  ,The Return of the King 
345,SOLDIER,Down to the lower levels quick!  ,The Return of the King 
346,SOLDIER,Double up men!  ,The Return of the King 
