Name,Url,Race
"Laura (Grubb) Baggins","http://lotr.wikia.com//wiki/Laura_(Grubb)_Baggins",Hobbit
"Longo Baggins","http://lotr.wikia.com//wiki/Longo_Baggins",Hobbit
"Mungo Baggins","http://lotr.wikia.com//wiki/Mungo_Baggins",Hobbit
"Peony (Baggins) Burrows","http://lotr.wikia.com//wiki/Peony_(Baggins)_Burrows",Hobbit
"Ponto Baggins","http://lotr.wikia.com//wiki/Ponto_Baggins",Hobbit
"Ponto Baggins II","http://lotr.wikia.com//wiki/Ponto_Baggins_II",Hobbit
"Porto Baggins","http://lotr.wikia.com//wiki/Porto_Baggins",Hobbit
"Bain","http://lotr.wikia.com//wiki/Bain",Human
"Balin","http://lotr.wikia.com//wiki/Balin",Dwarf
"Baragund","http://lotr.wikia.com//wiki/Baragund",Human
"Barahir","http://lotr.wikia.com//wiki/Barahir",Human
"Barahir (Steward)","http://lotr.wikia.com//wiki/Barahir_(Steward)",Human
"Baran","http://lotr.wikia.com//wiki/Baran",Human
"Baranor","http://lotr.wikia.com//wiki/Baranor",Human
"Baranor (Gondor)","http://lotr.wikia.com//wiki/Baranor_(Gondor)",Human
"Bard","http://lotr.wikia.com//wiki/Bard",Human
"Bard II","http://lotr.wikia.com//wiki/Bard_II",Human
"Beldir","http://lotr.wikia.com//wiki/Beldir",Human
"Beldis","http://lotr.wikia.com//wiki/Beldis",Human
"Belecthor I","http://lotr.wikia.com//wiki/Belecthor_I",Human
"Belecthor II","http://lotr.wikia.com//wiki/Belecthor_II",Human
"Beleg of Arnor","http://lotr.wikia.com//wiki/Beleg_of_Arnor",Human
"Belegorn","http://lotr.wikia.com//wiki/Belegorn",Human
"Belegund","http://lotr.wikia.com//wiki/Belegund",Human
"Belemir","http://lotr.wikia.com//wiki/Belemir",Human
"Belen","http://lotr.wikia.com//wiki/Belen",Human
"Beorn","http://lotr.wikia.com//wiki/Beorn",Human
"Bereg","http://lotr.wikia.com//wiki/Bereg",Human
"Beregond","http://lotr.wikia.com//wiki/Beregond",Human
"Beregond (Captain)","http://lotr.wikia.com//wiki/Beregond_(Captain)",Human
"Berelach","http://lotr.wikia.com//wiki/Berelach",Human
"Beren","http://lotr.wikia.com//wiki/Beren",Human
"Beren (Belemir's son)","http://lotr.wikia.com//wiki/Beren_(Belemir%27s_son)",Human
"Beren (Steward)","http://lotr.wikia.com//wiki/Beren_(Steward)",Human
"Bergil","http://lotr.wikia.com//wiki/Bergil",Human
"Bifur","http://lotr.wikia.com//wiki/Bifur",Dwarf
"Bilbo Baggins","http://lotr.wikia.com//wiki/Bilbo_Baggins",Hobbit
"Black Serpent","http://lotr.wikia.com//wiki/Black_Serpent",Human
"Bladorthin","http://lotr.wikia.com//wiki/Bladorthin",Human
"Blanco","http://lotr.wikia.com//wiki/Blanco",Hobbit
"Bob","http://lotr.wikia.com//wiki/Bob",Hobbit
"Donnamira (Took) Boffin","http://lotr.wikia.com//wiki/Donnamira_(Took)_Boffin",Hobbit
"Basso Boffin","http://lotr.wikia.com//wiki/Basso_Boffin",Hobbit
"Bosco Boffin","http://lotr.wikia.com//wiki/Bosco_Boffin",Hobbit
"Buffo Boffin","http://lotr.wikia.com//wiki/Buffo_Boffin",Hobbit
"Daisy (Baggins) Boffin","http://lotr.wikia.com//wiki/Daisy_(Baggins)_Boffin",Hobbit
"Druda Burrows Boffin","http://lotr.wikia.com//wiki/Druda_Burrows_Boffin",Hobbit
"Folco Boffin","http://lotr.wikia.com//wiki/Folco_Boffin",Hobbit
"Gerda (Boffin) Bolger","http://lotr.wikia.com//wiki/Gerda_(Boffin)_Bolger",Hobbit
"Griffo Boffin","http://lotr.wikia.com//wiki/Griffo_Boffin",Hobbit
"Hugo Boffin","http://lotr.wikia.com//wiki/Hugo_Boffin",Hobbit
"Ivy (Goodenough) Boffin","http://lotr.wikia.com//wiki/Ivy_(Goodenough)_Boffin",Hobbit
"Jago Boffin","http://lotr.wikia.com//wiki/Jago_Boffin",Hobbit
"Otto Boffin","http://lotr.wikia.com//wiki/Otto_Boffin",Hobbit
"Rollo Boffin","http://lotr.wikia.com//wiki/Rollo_Boffin",Hobbit
"Tosto Boffin","http://lotr.wikia.com//wiki/Tosto_Boffin",Hobbit
"Vigo Boffin","http://lotr.wikia.com//wiki/Vigo_Boffin",Hobbit
"Bofur","http://lotr.wikia.com//wiki/Bofur",Dwarf
"Filibert Bolger","http://lotr.wikia.com//wiki/Filibert_Bolger",Hobbit
"Fredegar Bolger","http://lotr.wikia.com//wiki/Fredegar_Bolger",Hobbit
"Jessamine (Boffin) Bolger","http://lotr.wikia.com//wiki/Jessamine_(Boffin)_Bolger",Hobbit
"Odovacar Bolger","http://lotr.wikia.com//wiki/Odovacar_Bolger",Hobbit
"Rosamunda (Took) Bolger","http://lotr.wikia.com//wiki/Rosamunda_(Took)_Bolger",Hobbit
"Wilibald Bolger","http://lotr.wikia.com//wiki/Wilibald_Bolger",Hobbit
"Bombur","http://lotr.wikia.com//wiki/Bombur",Dwarf
"Borin","http://lotr.wikia.com//wiki/Borin",Dwarf
"Borlach","http://lotr.wikia.com//wiki/Borlach",Human
"Borlad","http://lotr.wikia.com//wiki/Borlad",Human
"Borlas","http://lotr.wikia.com//wiki/Borlas",Human
"Boromir","http://lotr.wikia.com//wiki/Boromir",Human
"Boromir (House of Bëor)","http://lotr.wikia.com//wiki/Boromir_(House_of_B%C3%ABor)",Human
"Boromir (Steward)","http://lotr.wikia.com//wiki/Boromir_(Steward)",Human
"Boron","http://lotr.wikia.com//wiki/Boron",Human
"Borondir","http://lotr.wikia.com//wiki/Borondir",Human
"Borthand","http://lotr.wikia.com//wiki/Borthand",Human
"Blanco Bracegirdle","http://lotr.wikia.com//wiki/Blanco_Bracegirdle",Hobbit
"Bruno Bracegirdle","http://lotr.wikia.com//wiki/Bruno_Bracegirdle",Hobbit
"Primrose Bracegirdle","http://lotr.wikia.com//wiki/Primrose_Bracegirdle",Hobbit
"Brand","http://lotr.wikia.com//wiki/Brand",Human
"Brandir","http://lotr.wikia.com//wiki/Brandir",Human
"Adaldrida (Bolger) Brandybuck","http://lotr.wikia.com//wiki/Adaldrida_(Bolger)_Brandybuck",Hobbit
"Amaranth Brandybuck","http://lotr.wikia.com//wiki/Amaranth_Brandybuck",Hobbit
"Celandine Brandybuck","http://lotr.wikia.com//wiki/Celandine_Brandybuck",Hobbit
"Esmeralda Brandybuck","http://lotr.wikia.com//wiki/Esmeralda_Brandybuck",Hobbit
"Estella (Bolger) Brandybuck","http://lotr.wikia.com//wiki/Estella_(Bolger)_Brandybuck",Hobbit
"Hilda Brandybuck","http://lotr.wikia.com//wiki/Hilda_Brandybuck",Hobbit
"Madoc Brandybuck","http://lotr.wikia.com//wiki/Madoc_Brandybuck",Hobbit
"Melilot Brandybuck","http://lotr.wikia.com//wiki/Melilot_Brandybuck",Hobbit
"Mentha Brandybuck","http://lotr.wikia.com//wiki/Mentha_Brandybuck",Hobbit
"Meriadoc Brandybuck","http://lotr.wikia.com//wiki/Meriadoc_Brandybuck",Hobbit
"Mirabella (Took) Brandybuck","http://lotr.wikia.com//wiki/Mirabella_(Took)_Brandybuck",Hobbit
"Primula (Brandybuck) Baggins","http://lotr.wikia.com//wiki/Primula_(Brandybuck)_Baggins",Hobbit
"Seredic Brandybuck","http://lotr.wikia.com//wiki/Seredic_Brandybuck",Hobbit
"Brego","http://lotr.wikia.com//wiki/Brego",Human
"Bregolas","http://lotr.wikia.com//wiki/Bregolas",Human
"Bregor","http://lotr.wikia.com//wiki/Bregor",Human
"Sapphira (Brockhouse) Boffin","http://lotr.wikia.com//wiki/Sapphira_(Brockhouse)_Boffin",Hobbit
"Bucca of the Marish","http://lotr.wikia.com//wiki/Bucca_of_the_Marish",Hobbit
"Asphodel (Brandybuck) Burrows","http://lotr.wikia.com//wiki/Asphodel_(Brandybuck)_Burrows",Hobbit
"Milo Burrows","http://lotr.wikia.com//wiki/Milo_Burrows",Hobbit
"Minto Burrows","http://lotr.wikia.com//wiki/Minto_Burrows",Hobbit
"Bëor","http://lotr.wikia.com//wiki/B%C3%ABor",Human
"Bór","http://lotr.wikia.com//wiki/B%C3%B3r",Human
"Calimehtar","http://lotr.wikia.com//wiki/Calimehtar",Human
"Caliondo","http://lotr.wikia.com//wiki/Caliondo",Human
"Calmacil","http://lotr.wikia.com//wiki/Calmacil",Human
"Caranthir","http://lotr.wikia.com//wiki/Caranthir",Elf
"Castamir the Usurper","http://lotr.wikia.com//wiki/Castamir_the_Usurper",Human
"Celeborn","http://lotr.wikia.com//wiki/Celeborn",Elf
"Celebrimbor","http://lotr.wikia.com//wiki/Celebrimbor",Elf
"Celebrindor","http://lotr.wikia.com//wiki/Celebrindor",Human
"Celebrían","http://lotr.wikia.com//wiki/Celebr%C3%ADan",Elf
"Celegorm","http://lotr.wikia.com//wiki/Celegorm",Elf
"Celepharn","http://lotr.wikia.com//wiki/Celepharn",Human
"Cemendur","http://lotr.wikia.com//wiki/Cemendur",Human
"Cemendur (son of Axantur)","http://lotr.wikia.com//wiki/Cemendur_(son_of_Axantur)",Human
"Ceorl","http://lotr.wikia.com//wiki/Ceorl",Human
"Falco Chubb-Baggins","http://lotr.wikia.com//wiki/Falco_Chubb-Baggins",Hobbit
"Cirion","http://lotr.wikia.com//wiki/Cirion",Human
"Ciryandil","http://lotr.wikia.com//wiki/Ciryandil",Human
"Ciryatur","http://lotr.wikia.com//wiki/Ciryatur",Human
"Ciryon","http://lotr.wikia.com//wiki/Ciryon",Human
"Bowman Cotton","http://lotr.wikia.com//wiki/Bowman_Cotton",Hobbit
"Lily Cotton","http://lotr.wikia.com//wiki/Lily_Cotton",Hobbit
"Marigold (Gamgee) Cotton","http://lotr.wikia.com//wiki/Marigold_(Gamgee)_Cotton",Hobbit
"Rosie Cotton","http://lotr.wikia.com//wiki/Rosie_Cotton",Hobbit
"Tolman Cotton","http://lotr.wikia.com//wiki/Tolman_Cotton",Hobbit
"Curufin","http://lotr.wikia.com//wiki/Curufin",Elf
"Círdan","http://lotr.wikia.com//wiki/C%C3%ADrdan",Elf
"Dairuin","http://lotr.wikia.com//wiki/Dairuin",Human
"Damrod","http://lotr.wikia.com//wiki/Damrod",Human
"User:Deathshriek","http://lotr.wikia.com//wiki/User:Deathshriek",Dwarf
"Denethor (First Age)","http://lotr.wikia.com//wiki/Denethor_(First_Age)",Elf
"Denethor I","http://lotr.wikia.com//wiki/Denethor_I",Human
"Denethor II","http://lotr.wikia.com//wiki/Denethor_II",Human
"Derufin","http://lotr.wikia.com//wiki/Derufin",Human
"Dervorin","http://lotr.wikia.com//wiki/Dervorin",Human
"Diamond Took","http://lotr.wikia.com//wiki/Diamond_Took",Hobbit
"Dinodas Brandybuck","http://lotr.wikia.com//wiki/Dinodas_Brandybuck",Hobbit
"Dior (Steward)","http://lotr.wikia.com//wiki/Dior_(Steward)",Human
"Dodinas Brandybuck","http://lotr.wikia.com//wiki/Dodinas_Brandybuck",Hobbit
"Dori","http://lotr.wikia.com//wiki/Dori",Dwarf
"Dorlas","http://lotr.wikia.com//wiki/Dorlas",Human
"Duilin","http://lotr.wikia.com//wiki/Duilin",Human
"Duinhir","http://lotr.wikia.com//wiki/Duinhir",Human
"Durin VII","http://lotr.wikia.com//wiki/Durin_VII",Dwarf
"Dwalin","http://lotr.wikia.com//wiki/Dwalin",Dwarf
"Dáin I","http://lotr.wikia.com//wiki/D%C3%A1in_I",Dwarf
"Dáin II Ironfoot","http://lotr.wikia.com//wiki/D%C3%A1in_II_Ironfoot",Dwarf
"Déagol","http://lotr.wikia.com//wiki/D%C3%A9agol",Hobbit
"Déor","http://lotr.wikia.com//wiki/D%C3%A9or",Human
"Déorwine","http://lotr.wikia.com//wiki/D%C3%A9orwine",Human
"Dírhael","http://lotr.wikia.com//wiki/D%C3%ADrhael",Human
"Dírhavel","http://lotr.wikia.com//wiki/D%C3%ADrhavel",Human
"Dís","http://lotr.wikia.com//wiki/D%C3%ADs",Dwarf
"Dúnhere","http://lotr.wikia.com//wiki/D%C3%BAnhere",Human
"Ecthelion I","http://lotr.wikia.com//wiki/Ecthelion_I",Human
"Ecthelion II","http://lotr.wikia.com//wiki/Ecthelion_II",Human
"Edrahil","http://lotr.wikia.com//wiki/Edrahil",Elf
"Egalmoth","http://lotr.wikia.com//wiki/Egalmoth",Human
"Eglantine (Banks) Took","http://lotr.wikia.com//wiki/Eglantine_(Banks)_Took",Hobbit
"Eilinel","http://lotr.wikia.com//wiki/Eilinel",Human
"Elatan","http://lotr.wikia.com//wiki/Elatan",Human
"Elboron","http://lotr.wikia.com//wiki/Elboron",Human
"Eldacar (King of Arnor)","http://lotr.wikia.com//wiki/Eldacar_(King_of_Arnor)",Human
"Eldacar (King of Gondor)","http://lotr.wikia.com//wiki/Eldacar_(King_of_Gondor)",Human
"Eldalótë","http://lotr.wikia.com//wiki/Eldal%C3%B3t%C3%AB",Elf
"Eldarion","http://lotr.wikia.com//wiki/Eldarion",Human
"Elemmírë (elf)","http://lotr.wikia.com//wiki/Elemm%C3%ADr%C3%AB_(elf)",Elf
"Elendil","http://lotr.wikia.com//wiki/Elendil",Human
"Elendur","http://lotr.wikia.com//wiki/Elendur",Human
"Elendur of Arnor","http://lotr.wikia.com//wiki/Elendur_of_Arnor",Human
"Elenwë","http://lotr.wikia.com//wiki/Elenw%C3%AB",Elf
"Elfhelm","http://lotr.wikia.com//wiki/Elfhelm",Human
"Elfhild","http://lotr.wikia.com//wiki/Elfhild",Human
"Elfwine","http://lotr.wikia.com//wiki/Elfwine",Human
"Elladan and Elrohir","http://lotr.wikia.com//wiki/Elladan_and_Elrohir",Elf
"Elphir","http://lotr.wikia.com//wiki/Elphir",Human
"Elrond","http://lotr.wikia.com//wiki/Elrond",Elf
"Emeldir","http://lotr.wikia.com//wiki/Emeldir",Human
"Enel","http://lotr.wikia.com//wiki/Enel",Elf
"Enelyë","http://lotr.wikia.com//wiki/Enely%C3%AB",Elf
"Enerdhil","http://lotr.wikia.com//wiki/Enerdhil",Elf
"Éomer","http://lotr.wikia.com//wiki/%C3%89omer",Human
"Eorl the Young","http://lotr.wikia.com//wiki/Eorl_the_Young",Human
"Éowyn","http://lotr.wikia.com//wiki/%C3%89owyn",Human
"Eradan","http://lotr.wikia.com//wiki/Eradan",Human
"Erchirion","http://lotr.wikia.com//wiki/Erchirion",Human
"Erellont","http://lotr.wikia.com//wiki/Erellont",Elf
"Erendis","http://lotr.wikia.com//wiki/Erendis",Human
"Erestor","http://lotr.wikia.com//wiki/Erestor",Elf
"Erkenbrand","http://lotr.wikia.com//wiki/Erkenbrand",Human
"Estelmo","http://lotr.wikia.com//wiki/Estelmo",Human
"Eärendil of Gondor","http://lotr.wikia.com//wiki/E%C3%A4rendil_of_Gondor",Human
"Eärendur (Lord of Andúnië)","http://lotr.wikia.com//wiki/E%C3%A4rendur_(Lord_of_And%C3%BAni%C3%AB)",Human
"Eärendur of Arnor","http://lotr.wikia.com//wiki/E%C3%A4rendur_of_Arnor",Human
"Eärendur of Númenor","http://lotr.wikia.com//wiki/E%C3%A4rendur_of_N%C3%BAmenor",Human
"Eärnil I","http://lotr.wikia.com//wiki/E%C3%A4rnil_I",Human
"Eärnil II","http://lotr.wikia.com//wiki/E%C3%A4rnil_II",Human
"Eärnur","http://lotr.wikia.com//wiki/E%C3%A4rnur",Human
"Eärwen","http://lotr.wikia.com//wiki/E%C3%A4rwen",Elf
"Eöl","http://lotr.wikia.com//wiki/E%C3%B6l",Elf
"Faramir","http://lotr.wikia.com//wiki/Faramir",Human
"Faramir (son of Ondoher)","http://lotr.wikia.com//wiki/Faramir_(son_of_Ondoher)",Human
"Farin","http://lotr.wikia.com//wiki/Farin",Dwarf
"Fastolph Bolger","http://lotr.wikia.com//wiki/Fastolph_Bolger",Hobbit
"Fastred","http://lotr.wikia.com//wiki/Fastred",Human
"Fastred (Pelennor Fields)","http://lotr.wikia.com//wiki/Fastred_(Pelennor_Fields)",Human
"Fengel","http://lotr.wikia.com//wiki/Fengel",Human
"Ferumbras Took II","http://lotr.wikia.com//wiki/Ferumbras_Took_II",Hobbit
"Finarfin","http://lotr.wikia.com//wiki/Finarfin",Elf
"Findegil","http://lotr.wikia.com//wiki/Findegil",Human
"Findis","http://lotr.wikia.com//wiki/Findis",Elf
"Finduilas","http://lotr.wikia.com//wiki/Finduilas",Elf
"Finduilas of Dol Amroth","http://lotr.wikia.com//wiki/Finduilas_of_Dol_Amroth",Human
"Fingolfin","http://lotr.wikia.com//wiki/Fingolfin",Elf
"Fingon","http://lotr.wikia.com//wiki/Fingon",Elf
"Finrod","http://lotr.wikia.com//wiki/Finrod",Elf
"Finwë","http://lotr.wikia.com//wiki/Finw%C3%AB",Elf
"Flói","http://lotr.wikia.com//wiki/Fl%C3%B3i",Dwarf
"Folca","http://lotr.wikia.com//wiki/Folca",Human
"Folcred","http://lotr.wikia.com//wiki/Folcred",Human
"Folcwine","http://lotr.wikia.com//wiki/Folcwine",Human
"Forlong","http://lotr.wikia.com//wiki/Forlong",Human
"Forthwini","http://lotr.wikia.com//wiki/Forthwini",Human
"Fortinbras Took I","http://lotr.wikia.com//wiki/Fortinbras_Took_I",Hobbit
"Forweg","http://lotr.wikia.com//wiki/Forweg",Human
"Fram","http://lotr.wikia.com//wiki/Fram",Human
"Freca","http://lotr.wikia.com//wiki/Freca",Human
"Frerin","http://lotr.wikia.com//wiki/Frerin",Dwarf
"Frumgar","http://lotr.wikia.com//wiki/Frumgar",Human
"Frár","http://lotr.wikia.com//wiki/Fr%C3%A1r",Dwarf
"Fréa","http://lotr.wikia.com//wiki/Fr%C3%A9a",Human
"Fréaláf Hildeson","http://lotr.wikia.com//wiki/Fr%C3%A9al%C3%A1f_Hildeson",Human
"Fréawine","http://lotr.wikia.com//wiki/Fr%C3%A9awine",Human
"Frór","http://lotr.wikia.com//wiki/Fr%C3%B3r",Dwarf
"Fundin","http://lotr.wikia.com//wiki/Fundin",Dwarf
"Fëanor","http://lotr.wikia.com//wiki/F%C3%ABanor",Elf
"Fíli and Kíli","http://lotr.wikia.com//wiki/F%C3%ADli_and_K%C3%ADli",Dwarf
"Fíriel","http://lotr.wikia.com//wiki/F%C3%ADriel",Human
"Galadriel","http://lotr.wikia.com//wiki/Galadriel",Elf
"Galar","http://lotr.wikia.com//wiki/Galar",Dwarf
"Galdor","http://lotr.wikia.com//wiki/Galdor",Human
"Galdor of the Havens","http://lotr.wikia.com//wiki/Galdor_of_the_Havens",Elf
"Galion","http://lotr.wikia.com//wiki/Galion",Elf
"Daisy Gamgee I","http://lotr.wikia.com//wiki/Daisy_Gamgee_I",Hobbit
"Frodo Gardner","http://lotr.wikia.com//wiki/Frodo_Gardner",Hobbit
"Halfred Gamgee","http://lotr.wikia.com//wiki/Halfred_Gamgee",Hobbit
"Hamfast Gamgee","http://lotr.wikia.com//wiki/Hamfast_Gamgee",Hobbit
"Hamson Gamgee","http://lotr.wikia.com//wiki/Hamson_Gamgee",Hobbit
"May Gamgee","http://lotr.wikia.com//wiki/May_Gamgee",Hobbit
"Samwise Gamgee","http://lotr.wikia.com//wiki/Samwise_Gamgee",Hobbit
"Gamling","http://lotr.wikia.com//wiki/Gamling",Human
"Elanor Gardner","http://lotr.wikia.com//wiki/Elanor_Gardner",Hobbit
"Gelmir","http://lotr.wikia.com//wiki/Gelmir",Elf
"Gelmir (of Angrod's kin)","http://lotr.wikia.com//wiki/Gelmir_(of_Angrod%27s_kin)",Elf
"Gethron","http://lotr.wikia.com//wiki/Gethron",Human
"Ghân-buri-Ghân","http://lotr.wikia.com//wiki/Gh%C3%A2n-buri-Gh%C3%A2n",Human
"Gil-galad","http://lotr.wikia.com//wiki/Gil-galad",Elf
"Gildis","http://lotr.wikia.com//wiki/Gildis",Human
"Gildor (Edain)","http://lotr.wikia.com//wiki/Gildor_(Edain)",Human
"Gildor Inglorion","http://lotr.wikia.com//wiki/Gildor_Inglorion",Elf
"Gilfanon","http://lotr.wikia.com//wiki/Gilfanon",Elf
"Gilraen","http://lotr.wikia.com//wiki/Gilraen",Human
"Gimilkhâd","http://lotr.wikia.com//wiki/Gimilkh%C3%A2d",Human
"Gimilzagar","http://lotr.wikia.com//wiki/Gimilzagar",Human
"Gimli","http://lotr.wikia.com//wiki/Gimli",Dwarf
"Girion","http://lotr.wikia.com//wiki/Girion",Human
"Glirhuin","http://lotr.wikia.com//wiki/Glirhuin",Human
"Glorfindel","http://lotr.wikia.com//wiki/Glorfindel",Elf
"Gléowine","http://lotr.wikia.com//wiki/Gl%C3%A9owine",Human
"Glóin","http://lotr.wikia.com//wiki/Gl%C3%B3in",Dwarf
"Glóin (King of Durin's Folk)","http://lotr.wikia.com//wiki/Gl%C3%B3in_(King_of_Durin%27s_Folk)",Dwarf
"Glóredhel","http://lotr.wikia.com//wiki/Gl%C3%B3redhel",Human
"Golasgil","http://lotr.wikia.com//wiki/Golasgil",Human
"Goldwine","http://lotr.wikia.com//wiki/Goldwine",Human
"Hanna (Goldworthy) Brandybuck","http://lotr.wikia.com//wiki/Hanna_(Goldworthy)_Brandybuck",Hobbit
"Gorbulas Brandybuck","http://lotr.wikia.com//wiki/Gorbulas_Brandybuck",Hobbit
"Gorhendad (Oldbuck) Brandybuck","http://lotr.wikia.com//wiki/Gorhendad_(Oldbuck)_Brandybuck",Hobbit
"Gorlim","http://lotr.wikia.com//wiki/Gorlim",Human
"Gormadoc Deepdelver Brandybuck","http://lotr.wikia.com//wiki/Gormadoc_%22Deepdelver%22_Brandybuck",Hobbit
"Gram","http://lotr.wikia.com//wiki/Gram",Human
