Film,Chapter,Character,Race,Words
The Two Towers,06: The Burning of the Westfold,Orc,Orc,29
The Two Towers,06: The Burning of the Westfold,Saruman,Ainur,187
The Two Towers,06: The Burning of the Westfold,Wild Man,Men,11
The Two Towers,07: Massacre at the Fords of Isen,Eomer,Men,13
The Two Towers,07: Massacre at the Fords of Isen,Rohan Warrior,Men,10
The Two Towers,08: The Banishment of Éomer,Eomer,Men,88
The Two Towers,08: The Banishment of Éomer,Eowyn,Men,8
The Two Towers,08: The Banishment of Éomer,Grima Wormtongue,Men,81
The Two Towers,08: The Banishment of Éomer,Theoden,Men,3
The Two Towers,09: On The Trail Of The Uruk-Hai,Gimli,Dwarf,6
The Two Towers,09: On The Trail Of The Uruk-Hai,Legolas,Elf,13
The Two Towers,10: Night Camp At Fangorn,Grishnakh,Orc,44
The Two Towers,10: Night Camp At Fangorn,Legolas,Elf,10
The Two Towers,10: Night Camp At Fangorn,Merry,Hobbit,68
The Two Towers,10: Night Camp At Fangorn,Orc,Orc,20
The Two Towers,10: Night Camp At Fangorn,Pippin,Hobbit,14
The Two Towers,10: Night Camp At Fangorn,Ugluk,Orc,33
The Two Towers,10: Night Camp At Fangorn,Uruk-hai,Orc,13
The Two Towers,11: The Riders Of Rohan,Aragorn,Men,68
The Two Towers,11: The Riders Of Rohan,Eomer,Men,156
The Two Towers,11: The Riders Of Rohan,Gimli,Dwarf,24
The Two Towers,11: The Riders Of Rohan,Legolas,Elf,7
The Two Towers,12: The Fate Of Merry And Pippin,Aragorn,Men,33
The Two Towers,12: The Fate Of Merry And Pippin,Gimli,Dwarf,16
The Two Towers,12: The Fate Of Merry And Pippin,Merry,Hobbit,3
The Two Towers,13: Treebeard,Grishnakh,Orc,18
The Two Towers,13: Treebeard,Merry,Hobbit,28
The Two Towers,13: Treebeard,Pippin,Hobbit,36
The Two Towers,13: Treebeard,Treebeard,Ent,77
The Two Towers,14: The Passage Of The Marshes,Frodo,Hobbit,54
The Two Towers,14: The Passage Of The Marshes,Gollum,Gollum,304
The Two Towers,14: The Passage Of The Marshes,Sam,Hobbit,69
The Two Towers,15: The White Rider,Aragorn,Men,68
The Two Towers,15: The White Rider,Gandalf,Ainur,298
The Two Towers,15: The White Rider,Gimli,Dwarf,73
The Two Towers,15: The White Rider,Legolas,Elf,63
The Two Towers,16: The Song Of The Entwives,Merry,Hobbit,4
The Two Towers,16: The Song Of The Entwives,Treebeard,Ent,204
The Two Towers,17: The Heir Of Númenor,Aragorn,Men,7
The Two Towers,17: The Heir Of Númenor,Gandalf,Ainur,226
The Two Towers,18: The Black Gate Is Closed,Frodo,Hobbit,39
The Two Towers,18: The Black Gate Is Closed,Gollum,Gollum,93
The Two Towers,18: The Black Gate Is Closed,Sam,Hobbit,68
The Two Towers,19: Ent Draft,Merry,Hobbit,63
The Two Towers,19: Ent Draft,Pippin,Hobbit,122
The Two Towers,19: Ent Draft,Treebeard,Ent,113
The Two Towers,20: The King Of The Golden Hall,Aragorn,Men,18
The Two Towers,20: The King Of The Golden Hall,Eowyn,Men,28
The Two Towers,20: The King Of The Golden Hall,Gandalf,Ainur,151
The Two Towers,20: The King Of The Golden Hall,Gimli,Dwarf,15
The Two Towers,20: The King Of The Golden Hall,Grima Wormtongue,Men,166
The Two Towers,20: The King Of The Golden Hall,Hama,Men,21
The Two Towers,20: The King Of The Golden Hall,Theoden,Men,56
The Two Towers,21: The Funeral Of Théodred,Eowyn,Men,24
The Two Towers,22: Simbelmynë on the Burial Mounds,Gandalf,Ainur,28
The Two Towers,22: Simbelmynë on the Burial Mounds,Theoden,Men,55
The Two Towers,23: The King's Decision,Aragorn,Men,59
The Two Towers,23: The King's Decision,Eowyn,Men,24
The Two Towers,23: The King's Decision,Freda,Men,3
The Two Towers,23: The King's Decision,Gandalf,Ainur,165
The Two Towers,23: The King's Decision,Gimli,Dwarf,21
The Two Towers,23: The King's Decision,Hama,Men,29
The Two Towers,23: The King's Decision,Theoden,Men,49
The Two Towers,24: Brego,Aragorn,Men,22
The Two Towers,24: Brego,Eowyn,Men,36
The Two Towers,24: Brego,Rohan Warrior,Men,13
The Two Towers,25: The Ring Of Barahir,Grima Wormtongue,Men,51
The Two Towers,25: The Ring Of Barahir,Saruman,Ainur,68
The Two Towers,25: The Ring Of Barahir,Theoden,Men,18
The Two Towers,26: A Daughter Of Kings,Aragorn,Men,31
The Two Towers,26: A Daughter Of Kings,Eowyn,Men,45
The Two Towers,27: Exodus From Edoras,Grima Wormtongue,Men,52
The Two Towers,27: Exodus From Edoras,Saruman,Ainur,4
The Two Towers,28: The Forests Of Ithilien,Frodo,Hobbit,81
The Two Towers,28: The Forests Of Ithilien,Sam,Hobbit,87
The Two Towers,29: Gollum and Sméagol ,Gollum,Gollum,73
The Two Towers,29: Gollum and Sméagol ,Smeagol,Gollum,66
The Two Towers,30: Of Herbs And Stewed Rabbit,Faramir,Men,76
The Two Towers,30: Of Herbs And Stewed Rabbit,Frodo,Hobbit,39
The Two Towers,30: Of Herbs And Stewed Rabbit,Sam,Hobbit,91
The Two Towers,30: Of Herbs And Stewed Rabbit,Smeagol,Gollum,99
The Two Towers,31: Dwarf Women,Aragorn,Men,3
The Two Towers,31: Dwarf Women,Gimli,Dwarf,68
The Two Towers,32: One of the Dúnedain,Aragorn,Men,33
The Two Towers,32: One of the Dúnedain,Eowyn,Men,76
The Two Towers,32: One of the Dúnedain,Gimli,Dwarf,6
The Two Towers,32: One of the Dúnedain,Theoden,Men,59
The Two Towers,33: The Evenstar,Aragorn,Men,97
The Two Towers,33: The Evenstar,Arwen,Elf,119
The Two Towers,33: The Evenstar,Elrond,Elf,55
The Two Towers,33: The Evenstar,Eowyn,Men,11
The Two Towers,34: The Wolves Of Isengard,Aragorn,Men,9
The Two Towers,34: The Wolves Of Isengard,Eowyn,Men,10
The Two Towers,34: The Wolves Of Isengard,Gamling,Men,5
The Two Towers,34: The Wolves Of Isengard,Gimli,Dwarf,45
The Two Towers,34: The Wolves Of Isengard,Hama,Men,3
The Two Towers,34: The Wolves Of Isengard,Legolas,Elf,5
The Two Towers,34: The Wolves Of Isengard,Snaga,Orc,10
The Two Towers,34: The Wolves Of Isengard,Theoden,Men,50
The Two Towers,35: Helm's Deep,Eowyn,Men,22
The Two Towers,35: Helm's Deep,Freda,Men,1
The Two Towers,35: Helm's Deep,Gamling,Men,14
The Two Towers,35: Helm's Deep,Gimli,Dwarf,4
The Two Towers,35: Helm's Deep,Morwen,Men,2
The Two Towers,35: Helm's Deep,Rohan Maiden,Men,15
The Two Towers,35: Helm's Deep,Rohan Warrior,Men,22
The Two Towers,35: Helm's Deep,Theoden,Men,49
The Two Towers,36: Isengard Unleashed,Grima Wormtongue,Men,66
The Two Towers,36: Isengard Unleashed,Merry,Hobbit,8
The Two Towers,36: Isengard Unleashed,Pippin,Hobbit,9
The Two Towers,36: Isengard Unleashed,Saruman,Ainur,50
The Two Towers,36: Isengard Unleashed,Treebeard,Ent,37
The Two Towers,37: The Grace Of The Valar,Arwen,Elf,8
The Two Towers,38: Arwen's Fate,Arwen,Elf,14
The Two Towers,38: Arwen's Fate,Elrond,Elf,188
The Two Towers,39: The Story Foreseen From Lórien,Galadriel,Elf,190
The Two Towers,40: The Windows On The West,Faramir,Men,143
The Two Towers,40: The Windows On The West,Frodo,Hobbit,75
The Two Towers,40: The Windows On The West,Gondor Man,Men,63
The Two Towers,40: The Windows On The West,Sam,Hobbit,8
The Two Towers,41: Sons Of The Steward,Boromir,Men,132
The Two Towers,41: Sons Of The Steward,Crowd,Men,6
The Two Towers,41: Sons Of The Steward,Denethor,Men,250
The Two Towers,41: Sons Of The Steward,Faramir,Men,35
The Two Towers,42: The Forbidden Pool,Faramir,Men,92
The Two Towers,42: The Forbidden Pool,Frodo,Hobbit,89
The Two Towers,42: The Forbidden Pool,Gollum,Gollum,35
The Two Towers,42: The Forbidden Pool,Gondor Man,Men,16
The Two Towers,42: The Forbidden Pool,Sam,Hobbit,64
The Two Towers,42: The Forbidden Pool,Smeagol,Gollum,55
The Two Towers,43: Aragorn's Return,Aragorn,Men,69
The Two Towers,43: Aragorn's Return,Gamling,Men,9
The Two Towers,43: Aragorn's Return,Gimli,Dwarf,51
The Two Towers,43: Aragorn's Return,Legolas,Elf,5
The Two Towers,43: Aragorn's Return,Rohan Maiden,Men,2
The Two Towers,43: Aragorn's Return,Theoden,Men,206
The Two Towers,44: Entmoot,Merry,Hobbit,6
The Two Towers,44: Entmoot,Treebeard,Ent,55
The Two Towers,45: The Glittering Caves,Aragorn,Men,78
The Two Towers,45: The Glittering Caves,Eowyn,Men,65
The Two Towers,45: The Glittering Caves,Gimli,Dwarf,13
The Two Towers,45: The Glittering Caves,Legolas,Elf,36
The Two Towers,45: The Glittering Caves,Rohan Warrior,Men,12
The Two Towers,46: Where Is The Horse And The Rider,Gamling,Men,30
The Two Towers,46: Where Is The Horse And The Rider,Theoden,Men,64
The Two Towers,47: Don't Be Hasty Master Meriadoc!,Merry,Hobbit,18
The Two Towers,47: Don't Be Hasty Master Meriadoc!,Pippin,Hobbit,7
The Two Towers,47: Don't Be Hasty Master Meriadoc!,Treebeard,Ent,12
The Two Towers,48: The Host Of The Eldar,Aragorn,Men,34
The Two Towers,48: The Host Of The Eldar,Gimli,Dwarf,14
The Two Towers,48: The Host Of The Eldar,Haldir,Elf,37
The Two Towers,48: The Host Of The Eldar,Haleth,Men,23
The Two Towers,48: The Host Of The Eldar,Legolas,Elf,24
The Two Towers,48: The Host Of The Eldar,Rohan Warrior,Men,17
The Two Towers,48: The Host Of The Eldar,Theoden,Men,4
The Two Towers,49: The Battle Of The Hornburg,Aragorn,Men,18
The Two Towers,49: The Battle Of The Hornburg,Gamling,Men,1
The Two Towers,49: The Battle Of The Hornburg,Gimli,Dwarf,50
The Two Towers,49: The Battle Of The Hornburg,Legolas,Elf,37
The Two Towers,49: The Battle Of The Hornburg,Rohan Warrior,Men,1
The Two Towers,49: The Battle Of The Hornburg,Theoden,Men,7
