birth,death,gender,hair,height,name,race,realm,spouse
Fourth Age,"sometime after ,FO 172",Male,,,Findegil,Men,,
YT 1230,Still Alive,Male,Golden,,Finarfin,Elves,Tirion,Eärwen
,,,,,Fimbrethil,,,
TA 2701,TA 2801,Male,,,Ferumbras Took II,Hobbits,,Unnamed wife
"Late ,Third Age","Early ,Fourth Age",Male,Brown (film),,Bill Ferny,Men,,
TA 2870,TA 2953,Male,,,Fengel,Men,Rohan,
,,,,,Fastred of Greenholm,,,
"Late ,Third Age","March 15 ,3019",Male,,,Fastred (Pelennor Fields),Men,,
TA 2858,TA 2885,Male,,,Fastred,Men,,
SR 1210,,Male,,,Fastolph Bolger,Hobbits,Shire,Pansy Baggins
TA 2560,TA 2803,Male,,,Farin,Dwarves,,Unnamed wife
"Mid ,Third Age",TA 1944,Male,,,Faramir (son of Ondoher),Men,,
TA 2983,"February 26 ,82",Male,Raven,,Faramir,Men,Minas Ithil,owyn
,,,,,Falathar,,,
,,,,,Elfstan Fairbairn,,,
,February 293019,Male,,,Snaga (Two Towers orc),Orcs,,
,TA 3019,Male,,,Snaga,Orcs,,
"Unknown, first appeared in ,TA 2770","November 1 ,TA 2941",Male,,,Smaug,Dragons,Lonely Mountain,
,,,,,Seers,,,
"Late ,Third Age",,Male,,,Robin Smallburrow,Hobbits,,
TA 570,TA 830,Male,,,Siriondil,Men,Gondor,Unnamed wife
SA 521,,Female,,,Silmariën,Men,,Elatan
"Unknown, possibly during the ,First Age","Unknown, possibly TA 3019",Female,,Large and immense,Shelob,Great Spiders,Torech Ungol,
TA 2050,,Male,,7'1,Shagrat,Black Uruk,Cirith Ungol,
,TA 2000,Male,None,,Scatha,Dragons,,
"Before the creation of ,Arda","March 25 ,3019",Male,Various ,Various until ,Sauron,Maiar,,None
"Before the creation of ,Arda","3 November ,3019",Male,White,,Saruman,Maiar,"Isengard,Nan Curunír",None
,,,,,Saradoc Brandybuck,,,
Before the creation of Arda,Immortal,Male,,,Salmar,Ainur,,
SR 1308,SR 1407,Male,,,Saradas Brandybuck,Hobbits,,
"Mid-,Third Age",,Male,,,Sangahyando,Men,,
TA 2920,FO 50,Male,,,Ted Sandyman,Hobbits,,
,,,,,Sandyman,,,
,Fate officially unknown,Male,,Short,Salgant,Elves,,
,,Male,,,Sagroth,Men,,
YT,FA 484,Male,,,Saeros,Elves,,
Fourth Age,,Male,,,Saelon,Men,,
"about ,FA 430",FA 495,Male,,,Sador,Men,,None known
SR 1179,,Male,,,Sadoc Brandybuck,Hobbits,,Unnamed wife
TA 2964,TA 3019,Male,Sandy,"1.22m (4'0"") ",Lotho Sackville-Baggins,Hobbits,,None
TA 2918,TA 3020,Female,,"1.17m (3'10"")",Lobelia Sackville-Baggins,Hobbit,,Otho Sackville-Baggins
,,,,,Camellia (Sackville) Baggins,,,
TA 1126,TA 1366,Male,,,Rómendacil II,Men,Gondor,Unnamed wife
YT,,Male,,,Rúmil (Noldo),Elves,,
TA 310,TA 541,Male,,,Rómendacil I,Men,Gondor,Unnamed wife
c. T.A. 2328,,Female,,,Rían (Gondor),Men,,Unnamed husband
FA 450,FA 473,Female,,,Rían,Men,,Huor
,,Male,,,Rufus Burrows,Hobbit,,Asphodel Brandybuck
,,,,,Ruffian Leader,,,
,,Male,,,Rúmil of Lórien,Elves,,
,,,,,Rudolph Bolger,,,
SR 1255,SR 1348,Male,,,Rudigar Bolger,Hobbits,Bree,Belba Baggins
,,,,,Ruby Gamgee,,,
TA 2788,,Male,,,Roäc,Raven,,
TA 2849,"Late ,Third Age",Male,,,Rowan Greenhand,Hobbits,Shire,Belba Baggins
,,,,,Andwise Roper,,,
,FA 510,Male,,,Rog,Elves,,
,,,,,River-woman,,,
"Mid ,First Age",FA 460,Male,,,Ragnor,Men,,
"Late ,First Age",Late First Age ,Male,,,Ragnir,Men,,
"Late ,First Age",FA 460,Male,,,Radhruin,Men,,
,,,,,Radbug,,,
"Before the creation of ,Arda",None,Male,Brown-gray (films),,Radagast,Maiar,,None
,,,,,Olo Proudfoot,,,
,,,,,Sancho Proudfoot,,,
TA 2904,TA 3005,Male,Brown Gray (movie),,Odo Proudfoot,Hobbits,,Mrs. Proudfoot
"Late ,Third Age",,Female,,,Mrs. Proudfoot,Hobbits,,Odo Proudfoot
,FA 486,Male,,,Khîm,Dwarves,,
Second Age,,Male,White,,Khamûl,"Men,Wraith","Rhûn,Dol Guldur,Sauron",
TA 2947,,Female,,,Ivriniel,Men,,
TA 2857,TA 2929,Female,Brown (film),,Ivorwen,Men,,Dírhael
SA 532,,Female,,,Isilmë,Men,,
"After ,SA 1320","Before ,SA 1731",Male,,,Isilmo,Men,,Unnamed wife
SA 3209,TA 2,Male,Black,Very tall almost 7'1,Isildur,Men,"Arnor,Gondor",Unnamed wife
TA 2832,TA 2930,Male,,,Isengrim Took III,Hobbits,,Not married
TA 2842,TA 2946,Male,,,Isembold Took,Hobbits,,Unnamed wife 
"Before the creation of ,Arda",Immortal,Male,,,Irmo,Ainur,,Estë
"b. ,TA 2990","Early-,Fourth Age",Male,,,Iorlas,Men,,
"Late ,Third Age",,Female,,,Ioreth,Men,,
"Late ,Second Age",,Female,,,Inzilbêth,Men,,Ar-Gimilzôr
,,,,,Inigo Baggins,,,
YT,"Unknown, probably still alive",Male,Probably Golden,,Ingwion,Elf,,
"YT, and perhaps firstborn",Still Alive,Male,Probably Golden,Tall,Ingwë,Elves,"Valinor,Taniquetil",Unnamed wife
"Late ,Third Age","Early ,Fourth Age",Male,,,Ingold,Men,,
"Mid ,First Age",FA 495,Male,,,Indor,Men,,Unnamed wife
,Still Alive,Female,Golden,Tall,Indis,Elves,Tirion,Finwë
TA 1950,TA 2076,Male,,,Imrazôr,Men,,Mithrellas
TA 2955,FO 34,Male,Black,Tall,Imrahil,Men,,Unnamed wife
around FA 325,First Age,Male,,,Imlach,Men,,Unnamed wife
"Unknown, Awakened in the ,Years of the Trees",,Female,,,Iminyë,Elves,,Imin
"Unknown, Awakened in the ,Years of the Trees",,Male,,,Imin,Elves,,Iminyë
,,Male,"Varies, White ",Varies,Eru Ilúvatar,God,Timeless Halls,None
"Before the creation of ,Arda",,Female,,,Ilmarë,Ainur,,
YT 1469,Still Alive,Female,Golden,Tall,Idril,Elves,,Tuor
,FA 489,Male,,,Ibûn,Dwarves,,"Unknown, possibly none"
"Mid-,Third Age","Mid-,Third Age",Male,,,Húrin of Emyn Arnen,Men,,
TA 2515,TA 2628,Male,,,Húrin II,Men,,Unnamed wife
TA 2124,TA 2244,Male,,,Húrin I,Men,,Unnamed wife
FA 441,FA 502,Male,"Golden, grey (in old age)",,Húrin,Men,,Morwen Eledhwen
"Late ,Third Age","Winter of ,TA 2759",Male,,,Háma (Helm's son),Men,,
TA 2975,"March 3, or ,4 ,3019",Male,Reddish brown (movie),,Háma,Men,,"Unknown, possibly none"
TA 1391,TA 1621,Male,,,Hyarmendacil II,Men,Gondor,Unnamed wife
TA 899,TA 1149,Male,,,Hyarmendacil I,Men,Gondor,Unnamed wife
,,,,,Hurin (Warden of the Keys),,,
FA 442,FA 473,Male,Golden,Tallest of all mortal men save his son Tuor only,Huor,Men,,Rían
"Late ,FA",FA 499,Male,,,Hunthor,Men,,Unnamed wife
"Late ,First Age",FA 473,Male,,,Hundar,Men,,Unnamed wife
"Mid ,FA",Mid FA ,Male,,,Hundad,Men,,Unnamed wife
First Age,FA 466,Male,,Horse-sized,Huan,Wolfhound,,
,,,,,Tobold Hornblower,,,
"Late ,Third Age","Late ,TA 3018",Male,,,Tobias Hornblower,Hobbits,Shire,
,,,,,Tanta Hornblower,,,
"Possibly late ,Third Age","March 15 ,TA 3019",Male,Blond (Video game),,Horn,Men,,
"Before the creation of ,Arda",Immortal,Male,,,Eönwë,Ainur,,
YT,FA 400,Male,Dark,Tall,Eöl,Elves,Nan Elmoth,Aredhel
Years of the Trees,Still alive,Female,Star-like ,,Eärwen,Elves,,Finarfin
TA 1928,TA 2050,Male,,,Eärnur,Men,Gondor,None
TA 1883,TA 2043,Male,,,Eärnil II,Men,Gondor,Unnamed wife
TA 736,TA 936,Male,,,Eärnil I,Men,Gondor,Unnamed wife
SA 361,"Early ,Second Age",Male,,,Eärendur of Númenor,Men,,Unnamed wife
TA 640,TA 861,Male,,,Eärendur of Arnor,,,Unnamed wife
"Late ,Second Age",Late Second Age,Male,,,Eärendur (Lord of Andúnië),Men,,
TA 48,TA 324,Male,,,Eärendil of Gondor,Men,Gondor,Unnamed wife
FA 503,Still Alive,Male,Golden,,Eärendil,Half-elven,,Elwing
"Before the creation of ,Arda",Immortal,Female,,,Estë,Ainur,,Irmo
"Late ,Second Age","Early ,Third Age",Male,,,Estelmo,Men,,
"Late ,Third Age","early ,Fourth Age",Male,,Tall,Erkenbrand,Men,,
,,Male,,,Erestor,Elves,,
SA 771,SA 985,Female,Dark,,Erendis,Men,Númenor,Tar-Aldarion
unknown,unknown,Male,,,Erellont,Elves,,unknown
TA 2990,"Early ,Fourth Age",Male,,,Erchirion,Men,,
TA 1999,TA 2116,Male,,,Eradan,Men,,Unnamed wife
TA 2995,FO,Female,Pale gold,Tall,owyn,Men,,Faramir
TA 2485,TA 2545,Male,Blond,,Eorl the Young,Men,Rohan,Unnamed wife
TA 2990,FO 63,Male,Dirty blond,Tall-6'6,omer,Men,Rohan,Lothíriel after the War of the Ring
"Unknown, possibly in the ,First Age",,Male,,,Enerdhil,Elves,,
"Unknown, Awakened in the ,Years of the Trees",,Female,,,Enelyë,Elves,,Enel
"Unknown, Awakened in the Years of the Trees",,Male,,,Enel,Elves,,Enelyë
FA 406,,Female,,,Emeldir,Men,,Barahir
FA 503,Still Alive,Female,Dark,,Elwing,Half-elven,,Eärendil
FA 500,FA 506,Male,Possibly dark,,Eluréd and Elurín,Elves,,
FA 532,SA 442,Male,,,Elros,Half-elven,Númenor,Unnamed wife
FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,Dark,Tall,Elrond,Half-elven,Rivendell,Celebrían
TA 2987,FO 57,Male,,,Elphir,Men,,Unnamed wife
,,,,,Elmo,,,
TA 130,,Male,Dark,Tall,Elladan and Elrohir,Elves,,
FO 8,FO 103,Male,,,Elfwine,Men,Rohan,
TA 2950,TA 2978,Female,,,Elfhild,Men,Rohan,Théoden
TA 2985,"Early ,Fourth Age",Male,Dark,,Elfhelm,Men,,
YT,YT 1500,Female,Golden,Tall,Elenwë,Elves,,Turgon
TA 552,TA 777,Male,,,Elendur of Arnor,Men,Arnor,Unnamed wife
SA 3299,TA 2,Male,,,Elendur,Men,,Unnamed wife
SA 3119,SA 3441 ,Male,Brown,"7' 10""",Elendil,Men,"Arnor,Gondor",Unnamed wife
,Presumably still alive,,,,Elemmírë (elf),Elves,,
,"FA 510,(presumably)",Male,,,Elemmakil,Elves,,
FO 43,"Before ,FO 220",Male,Dark,,Eldarion,Men,"Reunited Kingdom,Arnor,Gondor",
YT,,Female,,,Eldalótë,Elves,,Angrod
TA 1255,TA 1490,Male,,,Eldacar (King of Gondor),Men,Gondor,Unnamed wife
TA 87,TA 339,Male,,,Eldacar (King of Arnor),Men,Arnor,Unnamed wife
,,Male,,,Elboron,Men,,
"Early ,Second Age",Early Second Age ,Male,,,Elatan,Men,,Silmariën
"Mid ,First Age","Between ,FA 455, - ,FA 460",Female,,,Eilinel,Men,,Gorlim
"Late ,Third Age",Late Third Age,Female,,,Eglantine (Banks) Took,Hobbits,,Paladin Took II
,FA 538,Male,,,Egalmoth (elf),Elves,,"Unknown, possibly none"
TA 2626,TA 2743,Male,,,Egalmoth,Men,,Unnamed wife
,FA 465,Male,,,Edrahil,Elf,,
,FA 510,Male,Dark,,Ecthelion of the Fountain,Elves,,
TA 2886,TA 2984,Male,,,Ecthelion II,Men,,Unnamed wife
TA 2600,TA 2698,Male,,,Ecthelion I,Men,,Possibly none
,,,,,Ebor,,,
"Late ,Third Age","March 15 ,3019",Male,,,Dúnhere,Men,,
TA 2760,"After ,TA 2941",Female,,,Dís,Dwarves,,
"Late ,First Age",Late First Age ,Male,,,Dírhavel,Men,,
TA 2838,"After ,TA 2929",Male,Brown (film),,Dírhael,Men,,Ivorwen
"Late ,Third Age","March 15 ,3019",Male,,,Déorwine,Men,,
TA 2644,TA 2718,Male,,,Déor,"Men,Rohirrim",Rohan,
"Between TA 2400 and ,TA 2430",TA 2463,Male,Dark-brown,,Déagol,Hobbits,,None
TA 3011,,Male,,,Borlas,Men,,Unnamed wife
"Late ,First Age",FA 473,Male,,,Borlad,Men,,Unnamed wife
TA 1879,TA 1998,Male,,,Pelendur,Men,,
Before the creation of Arda,,Male,,,Pallando,Ainur,,
TA 2910,TA 3012,Male,,"1.22m (4'0"")",Otho Sackville-Baggins,Hobbits,,Lobelia Sackville-Baggins
TA 222,TA 492,Male,,,Ostoher,Men,Gondor,Unnamed wife
"Before the creation ,Arda",Immortal,Male,,,Ossë,Ainur,,Uinen
,,Male,,,Orophin,Elves,,
First Age,SA 3434,Male,,,Oropher,Elves,Woodland Realm,Unnamed wife
"Before the creation of ,Arda",Immortal,Male,,Varies,Oromë,Ainur,,Vána
SA 382,,Male,,,Oromendil,Men,,
TA 2576,TA 2685,Male,,,Orodreth (Steward),Men,,Unnamed wife
YT,"FA 495 ,Battle of Tumhalad",Male,Golden,,Orodreth,Elves,Nargothrond,Unnamed wife
,,,,,Orleg,,,
TA 2865,TA 2994,Male,,,Ori,Dwarves,,
,FA 510,Male,,,Orcobal,Orcs,,
"Sometime before ,SA 799",,Male,,,Orchaldor,Men,,Ailinel
TA 1787,TA 1944,Male,,,Ondoher,Men,Gondor,Unnamed wife
Possibly Firstborn,Still Alive,Male,Silver,,Olwë,Elves,"Tol Eressëa,Alqualondë",Unnamed Wife
TA 2923,"Early ,Fourth Age",Male,,,Old Noakes,Hobbits,,Unnamed wife
,,,,,Old Man Willow,,,
"Late ,Second Age",,Male,,,Ohtar,Men,,
"Early ,Second Age",,Female,,,Núneth,Men,,Beregar
Late Second Age ,SA 3065,Male,,,Númendil,Men,,Unnamed wife
"Late ,Third Age",Late Third Age ,Male,,,Nár,Dwarves,,
"Late ,Third Age",TA 2994,Male,,,Náli,Dwarves,,
TA 2338,TA 2585,Male,,,Náin II,Dwarves,Grey Mountains,Unnamed wife
TA 1832,TA 1981,Male,,,Náin I,Dwarves,Khazad-dûm,Unnamed wife
TA 2665,TA 2799,Male,,,Náin (father of Dáin II Ironfoot),Dwarves,,Unnamed wife
"Late ,Third Age",,Male,,,Hob Hayward,Hobbits,Shire,
TA 2846,,Male,,,Hob Gammidge,Hobbit,,Rowan
"Late ,Third Age","March 15 ,3019",Male,,Tall,Hirluin,Men,,
,,,,,Hild,,,
"Late ,Third Age",TA 3019,Male,,Tall,Hirgon,Men,,
FO 41,,Male,,,Herumor (Fourth Age),Men,,
Second Age,,Male,,,Herumor,Men,,
SA 2286,SA 2657,Male,,,Herucalmo,Men,,Tar-Vanimeldë
"Late-,Third Age","March 15 ,3019",Male,,,Herubrand,Men,,Unnamed wife
TA 2037,TA 2148,Male,,,Herion,Men,,Unnamed wife
,,Male,,,Hendor,Elves,,
"Late-,Third Age","March 15 ,3019",Male,Gray,,Herefara,Men,,Unnamed wife
"Early ,Second Age",unknown,Male,,,Henderch,Men,,
TA 2691,TA 2759,Male,,,Helm Hammerhand,Men,Rohan,Unnamed wife
,,,,,Mat Heathertoes,,,
"Sometime before ,SA 799",,Male,,,Hatholdir,Men,,Unnamed wife
F.A. 365,,Male,,,Hathol,Men,,
"Mid ,First Age",FA 460,Male,,,Hathaldir,Men,,
FA 419,,Female,,,Hareth,Men,,Galdor
"Late ,Third Age","March 15 ,3019",Male,,,Harding,Men,,
FA 470,FA 501,Male,,,Hardang,Men,,None
FA 441,FA 495,,,,Handir,Men,Brethil,Beldis
TA 2760,,Male,,,Hamfast of Gamwich,Hobbit,,Unnamed wife
"Late ,First Age",Late First Age ,Male,,,Halmir,Men,,Unnamed wife
SA 711,"Mid ,Second Age",Male,,,Hallatan,Men,,Unnamed wife
TA 2480,TA 2605,Male,,,Hallas (Steward),Men,,Unnamed wife
SA 852,SA 1211,Male,,,Hallacar,Men,,Tar-Ancalimë
"Late ,Third Age","Winter of ,TA 2758",Male,,,Haleth (Helm's son),Men,,
FA 341,FA 420,Female,,,Haleth,Men,,None
,TA 3019,Male,Golden,,Haldir (Lorien),Elves,,
FA 413,FA 473,Male,,,Haldir (Haladin),Men,,Glóredhel
,,,,,Haldar,,,
,,,,,Haldad,,,
TA 2916,"March 15 ,3019",Male,Black,Tall,Halbarad,Men,,
FA 390,FA 455,Male,Golden,,Hador,Men,,Gildis
"Late-,Third Age","February 28 ,3019",Male,,,Gárulf,Men,,
TA 2245,TA 2395,Male,,,Hador (Steward),Men,,Unnamed wife
TA 2767,"March 17 ,3019",Male,,4'5 - 5' (Estimate) ,Dáin II Ironfoot,Dwarves,Lonely Mountain,Unnamed wife
TA 2440,TA 2589,Male,,,Dáin I,Dwarves,Grey Mountains,Unnamed wife
TA 2772,FO 91,Male,Brown,,Dwalin,Dwarves,,
"Before the creation of ,Arda",January 253019,Male,Mane of red flames,"Slightly larger and taller than a Man (book), 20 feet (movie)",Durin's Bane,"Maiar,Balrog",,
FO 2,,Male,,,Durin VII,Dwarves,Khazad-dum,
,,,,,Durin,,,
"Late-,Third Age","Early-,Fourth Age",Male,Dark (Decipher Card),Tall,Duinhir,Men,,Unnamed wife
"Late ,Third Age",TA 3019,Male,,,Duilin,Men,,
,FA 465,Male,,,Draugluin,Werewolves,,
"Late ,First Age",FA 499,Males,,,Dorlas,Men,,
TA 2827,,Male,Gray (film),,Dori,Dwarves,,
,,Male,,,Dodinas Brandybuck,Hobbits,,
TA 2328,TA 2435,Male,,,Dior (Steward),Men,,Possibly none
"FA 470, ","FA 506, ",Male,Possibly dark,,Dior,Half-elven,Doriath,Nimloth
,,,,,Dina Diggle,,,
SR 1316,SR 1410,Male,,,Dinodas Brandybuck,Hobbits,,
TA 2995,"Before ,FO 63",Female,Brown (film),,Diamond Took,Hobbits,,Peregrin Took
"Late ,Third Age",,Male,,,Dervorin,Men,,
"Late ,Third Age","Mid ,March ,3019",Male,,,Derufin,Men,,
TA 2930,"March 15 ,3019",Male,"Dark, grey (in old age)",,Denethor II,Men,,Finduilas
TA 2375,TA 2477,Male,,,Denethor I,Men,,Unnamed wife
YT,YT 1497,Male,,,Denethor (First Age),Elves,Ossiriand,
"Late ,Third Age",TA 3019,Male,Dark,,Damrod,Men,,
,,,,,Daisy Gamgee,,,
"Late ,First Age",FA 460,Male,,,Dairuin,Men,,
YT,,Male,Dark ,,Daeron,Elves,,None
"YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).","Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.",Male,"Silver, bearded",Very tall,Círdan,Elves,,Presumably none
"During the ,Noontide of Valinor",FA 506,Male,Dark,,Curufin,Elves,Himlad,Unnamed wife
TA 2238,TA 2488,Male,,,in (King of Durin's Folk),Men,Grey Mountains,Unnamed wife
TA 2774,TA 2994,Male,,,in,Dwarves,,
"Before the creation of ,Arda",Immortal,Male,,Various,mar,Ainur,,None
"Early ,First Age",,Male,,,bal,Men,,
YT,,Female,,,rimë,Elves,,
SA 700,,Female,,,rildë,Men,,
"Late ,Third Age",,Male,,,othain,Men,,
TA 2961,TA 3002,Male,Blond,,omund,Men,,Théodwyn
"c. ,TA 2544",,Male,,,ofor,Men,,Unnamed wife
"Early ,Second Age",Early Second Age ,Female,White or grey,,Zamîn,Men,,
SA 371,,Female,,,Yávien,Men,,
"Before the creation of ,Arda",Immortal,Female,,Varies,Yavanna,Ainur,Pastures of Yavanna,Aulë
"Late-,Third Age","Early-,Fourth Age",Male,,,Wídfara,Men,,Unnamed wife
"Late ,Third Age",TA 2759,Male,,,Wulf I,Men,Rohan,
"Late ,First Age",FA 473,Male,,,Borlach,Men,,
TA 2450,TA 2711,Male,,,Borin,Dwarven,,
TA 2834,,Male,Ginger,,Bombur,Dwarves,,
"Unknown, before the coming of Melkor","Unknown, possibly immortal",Male,Brown,,Tom Bombadil,,Old Forest,Goldberry
,,,,,Wilimar Bolger,,,
TA 2904,TA 3000,Male,,,Wilibald Bolger,Hobbits,,Prisca Baggins
,,,,,Theobald Bolger,,,
,,,,,Rudibert Bolger,,,
TA 2938,,Female,,,Rosamunda (Took) Bolger,Men,,Odovacar Bolger
,,,,,Prisca (Baggins) Bolger,,,
TA 2935,FO 10,Male,,,Odovacar Bolger,Hobbits,,Rosamunda Took
TA 2897,"Late ,Third Age",Female,,,Jessamine (Boffin) Bolger,Hobbits,,Herugar Bolger
,,,,,Gundahar Bolger,,,
TA 2980,"Early ,Fourth Age",Male,,,Fredegar Bolger,Hobbits,,"unknown, possibly unmarried"
TA 2942,FO 22,Male,Brown (movie),,Filibert Bolger,Hobbits,,Poppy Chubb-Baggins
,,,,,Adalgar Bolger,,,
,TA 2941,Male,None,"8,4  Body weight = 190kg",Bolg,"Goblin,Orc",,
,,,,,Boldog (Character),,,
TA 2843,,Male,Dark Brown (films),,Bofur,Dwarves,,
,,,,,Uffo Boffin,,,
TA 2988,"Early-,Fourth Age",Male,,,Tosto Boffin,Hobbits,,
TA 2860,,Male,,,Rollo Boffin,Hobbits,,Lavender Grubb
TA 2812,TA 2900,Male,,,Otto Boffin,Hobbits,,Lavender Grubb
,,,,,Lavender (Grubb) Boffin,,,
TA 2894,TA 2986,Male,,,Jago Boffin,Hobbits,,Unnamed wife
"Late ,Third Age",Late Third Age ,Female,,,Ivy (Goodenough) Boffin,Hobbits,,Buffo Boffin
TA 2854,TA 2945,Male,,,Hugo Boffin,Hobbits,,Donnamira Took
,,,,,Gruffo Boffin,,,
TA 2946,,Male,,,Griffo Boffin,Hobbits,,Daisy Baggins
TA 2904,TA 3004,Female,,,Gerda (Boffin) Bolger,Hobbits,,Adalbert Bolger
TA 2978,"Early ,Fourth Age",Male,,,Folco Boffin,Hobbits,,
"before ,TA 2860",,Female,,,Druda Burrows Boffin,Hobbits,,Rollo Boffin
TA 2950,,Female,,,Daisy (Baggins) Boffin,Hobbits,,Griffo Boffin
"Late ,Third Age","Late ,Third Age",Male,,,Buffo Boffin,Hobbits,,Ivy Goodenough
,,,,,Briffo Boffin,,,
TA 2767,TA 2858,Male,,,Bosco Boffin,Hobbits,,Unnamed wife
TA 2769,,Male,,,Basso Boffin,Hobbits,,None
TA 2856,TA 2948,Female,,,Donnamira (Took) Boffin,Hobbits,,Hugo Boffin
,,,,,Bodruith,,,
"Late ,Third Age","Early ,Fourth Age",Male,,,Bob,Hobbits,,
TA 1560,"Sometime after ,TA 1601",Male,,,Blanco,Hobbits,,
,Late Third Age ,Male,,,Bladorthin,Men,"Lake-town,Dale,Rhûn,Dorwinion",
"Late ,Third Age","March 15 ,3019",Male,,,Black Serpent,Men,,
,,,,,Bilbo Gardner,,,
"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",Bilbo Baggins,Hobbits,,None
TA 2814,UnknownFourth Age,Male,Black/ Grey (film),"4'5"" (film)",Bifur,Dwarves,,
"Early  ,Third Age",,Female,,,Berúthiel,Men,Gondor,Tarannon Falastur
TA 3009,,Male,,,Bergil,Men,,
TA 2655,TA 2763,Male,,,Beren (Steward),Men,,Unnamed wife
FA 432,FA 466,Male,Dark,Tall,Beren,Men,,Lúthien Tinúviel
"Early ,Fourth Age",,Male,,,Berelach,Men,,
"Mid ,First Age",,Male,,,Beren (Belemir's son),Men,,Unnamed wife
TA 2837,,Male,,,Nori,Dwarves,,
SA 222,"Early ,Second Age",Male,,,Nolondil,Men,,Unnamed wife
"Late ,Third Age",,Male,,,Nob,Hobbits,,
