name,aliases,titles,rule,race,birth,death,gender,culture,languages,hair,height,realm,spouse,children,weapon,wikiUrl,imageUrl,_id
Amandil,Aphanuzîr,Lord of Andúnië,,Human,Before SA 3119,Sailed West SA 3316,Male,"Númenóreans (House of Elros), The Faithful","Quenya, Sindarin, Adûnaic",,,,Unnamed wife,Elendil,,http://lotr.wikia.com//wiki/Amandil,http://www.tolkiengateway.net/w/images/b/bb/Ebe_Kastein_-_Amandil.jpg,ObjectId(5cd99d4bde30eff6ebccfbc9)
Amarië,,,,Elf,YT ?,Unknown,Female,Vanyar,Vanyarin,Golden,,,"Loved Finrod, but it is unknown whether they married",,,http://lotr.wikia.com//wiki/Amari%C3%AB,http://www.tolkiengateway.net/w/images/f/ff/Marya_Filatova_-_Amarie_of_the_Vanyar.jpg,ObjectId(5cd99d4bde30eff6ebccfbca)
Aldor,Aldor the Old,King of Rohan,TA 2570 - TA 2645,Human,TA 2544,TA 2645,Male,Rohirrim (House of Eorl),"Rohirric, Westron",,,Rohan,Unnamed wife,"Frea, three unnamed daughters",King's Sword,http://lotr.wikia.com//wiki/Aldor,http://www.tolkiengateway.net/w/images/f/fb/L%C3%ADda_Holubov%C3%A1_-_Aldor_the_Old.jpg,ObjectId(5cd99d4bde30eff6ebccfbcb)
Aldamir,,King of Gondor,TA 1490 - TA 1540,Human,TA 1330,TA 1540,Male,"Dúnedain, Men of Gondor (House of Anárion)",,Brown,,Gondor,Unnamed wife,Hyarmendacil II,,http://lotr.wikia.com//wiki/Aldamir,http://www.tolkiengateway.net/w/images/b/b5/Mat%C4%9Bj_%C4%8Cadil_-_Aldamir_of_Gondor.jpg,ObjectId(5cd99d4bde30eff6ebccfbcc)
Amlaith,Amlaith of Fornost,King of Arthedain,TA 861 - TA 946,Human,TA 726,TA 946,Male,Dúnedain of the North (House of Isildur),"Sindarin, Westron",Dark Brown,,Arthedain,Unnamed wife,Beleg,,http://lotr.wikia.com//wiki/Amlaith,http://www.tolkiengateway.net/w/images/c/cc/ElfinFen_-_Amlaith%2C_king_of_Arthedain.jpg,ObjectId(5cd99d4bde30eff6ebccfbcd)
Amroth,,King of Lórien,SA 3434 - TA 1981 ,Elf,Before SA 730,TA 1981,Male,"Sindar (Galadhrim), Elves of Lórien","Sindarin, Silvan Elvish",Golden,,Lórien,Nimrodel (betrothed),,,http://lotr.wikia.com//wiki/Amroth,http://www.tolkiengateway.net/w/images/f/f1/Olga_Kukhtenkova_-_Amroth.jpg,ObjectId(5cd99d4bde30eff6ebccfbce)
Amrothos,,,,Human,TA 2994,Unknown,Male,"Dúnedain, Men of Gondor (House of Dol Amroth)",Westron,,,,,,,http://lotr.wikia.com//wiki/Amrothos,,ObjectId(5cd99d4bde30eff6ebccfbcf)
Anairë,,,,Elf,YT,Unknown,Female,Ñoldor (House of Fingolfin),Quenya,,,,Fingolfin,"Fingon, Turgon, Aredhel, Argon",,http://lotr.wikia.com//wiki/Anair%C3%AB,http://www.tolkiengateway.net/w/images/7/70/Marya_Filatova_-_Anaire.jpg,ObjectId(5cd99d4bde30eff6ebccfbd0)
Anardil,,King of Gondor,TA 324 - TA 411,Human,TA 136,TA 411,Male,"Dúnedain, Men of Gondor (House of Anárion)","Westron, Sindarin",,,Gondor,Unnamed wife,Ostoher,King's Sword,http://lotr.wikia.com//wiki/Anardil,http://www.tolkiengateway.net/w/images/f/f5/Mat%C4%9Bj_%C4%8Cadil_-_Anardil_of_Gondor.jpg,ObjectId(5cd99d4bde30eff6ebccfbd1)
Anborn,,,,Human,Late Third Age,Unknown,Male,"Dúnedain, Men of Gondor","Westron, Sindarin",Dark,,,,,"Bow, Sword",http://lotr.wikia.com//wiki/Anborn,http://www.tolkiengateway.net/w/images/7/72/Decipher_-_Anborn.jpg,ObjectId(5cd99d4bde30eff6ebccfbd2)
Andreth,Saelind,Wise-Woman of the Bëorians,,Human,FiA 361,FiA 455,Female,Edain (House of Bëor),,Dark brown,,,"Loved Aegnor, but they never married",,,http://lotr.wikia.com//wiki/Andreth,http://www.tolkiengateway.net/w/images/thumb/3/3a/Elena_Kukanova_-_Andreth.jpg/450px-Elena_Kukanova_-_Andreth.jpg,ObjectId(5cd99d4bde30eff6ebccfbd3)
Andróg,,,,Human,FiA 440,FiA 489,Male,"Edain, Men of Dor-lómin",,,,,Unnamed wife,Andvír,"Bow, Sword",http://lotr.wikia.com//wiki/Andr%C3%B3g,http://www.tolkiengateway.net/w/images/thumb/7/7a/Anke_Ei%C3%9Fmann_-_Forweg%27s_end.jpg/448px-Anke_Ei%C3%9Fmann_-_Forweg%27s_end.jpg,ObjectId(5cd99d4bde30eff6ebccfbd4)
Amras,"Díriel, Ambarussa, Pityafinwë, Telufinwë, Ambarussa, Minyarussa",Lord of Estolad,,Elf,Between YT 1190 and YT 1947,FiA 538,Male,Ñoldor (House of Fëanor),Quenya,Dark red,,Estolad,None,,"Bow, Sword",http://lotr.wikia.com//wiki/Amras,http://www.tolkiengateway.net/w/images/4/42/Jenny_Dolfen_-_Amrod_and_Amras%2C_sons_of_Feanor.jpg,ObjectId(5cd99d4bde30eff6ebccfbd5)
Angamaitë,,,,Human,Mid-TA,Unknown,Male,"Dúnedain (House of Anárion), Haradrim, Corsairs of Umbar",,,,,Unknown,,,http://lotr.wikia.com//wiki/Angamait%C3%AB,http://www.tolkiengateway.net/w/images/thumb/3/38/Liz_Danforth_-_Angamait%C3%AB.jpg/458px-Liz_Danforth_-_Angamait%C3%AB.jpg,ObjectId(5cd99d4bde30eff6ebccfbd6)
Amdír,,,,Elf,"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,,,Lórien,Unnamed wife,,,http://lotr.wikia.com//wiki/Amd%C3%ADr,,ObjectId(5cd99d4bde30eff6ebccfbd7)
Amrod,,,,Elf,Years of the Trees,"YT 1497 ,Losgar",Male,,,Dark red,,,None,,,http://lotr.wikia.com//wiki/Amrod,,ObjectId(5cd99d4bde30eff6ebccfbd8)
Annael,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Annael,,ObjectId(5cd99d4bde30eff6ebccfbd9)
Angbor,,,,Human,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Angbor,,ObjectId(5cd99d4bde30eff6ebccfbda)
Angelimir,,,,Human,TA 2866,TA 2977,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Angelimir,,ObjectId(5cd99d4bde30eff6ebccfbdb)
Angrod,,,,Elf,YT,FA 455,Male,,,Golden,,,Eldalótë,,,http://lotr.wikia.com//wiki/Angrod,,ObjectId(5cd99d4bde30eff6ebccfbdc)
Anárion,,,,Human,SA 3219,SA 3440,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/An%C3%A1rion,,ObjectId(5cd99d4bde30eff6ebccfbdd)
Ar-Adûnakhôr,,,,Human,SA 2709,SA 2962,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r,,ObjectId(5cd99d4bde30eff6ebccfbde)
Ar-Gimilzôr,,,,Human,SA 2960,SA 3177,Male,,,,,Númenor,Inzilbêth,,,http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r,,ObjectId(5cd99d4bde30eff6ebccfbdf)
Ar-Zimrathôn,,,,Human,SA 2798,SA 3033,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n,,ObjectId(5cd99d4bde30eff6ebccfbe0)
Ar-Pharazôn,,,,Human,SA 3118,Still alive,Male,,,,Tall,Númenor,Tar-Míriel,,,http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n,,ObjectId(5cd99d4bde30eff6ebccfbe1)
Ar-Sakalthôr,,,,Human,SA 2876,SA 3102,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r,,ObjectId(5cd99d4bde30eff6ebccfbe2)
Arador,,,,Human,TA 2820,TA 2930,Male,,,"Dark, then grey (film)",,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arador,,ObjectId(5cd99d4bde30eff6ebccfbe3)
Araglas,,,,Human,TA 2296,TA 2455,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Araglas,,ObjectId(5cd99d4bde30eff6ebccfbe4)
Aragorn I,,,,Human,TA 2227,TA 2327,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aragorn_I,,ObjectId(5cd99d4bde30eff6ebccfbe5)
Aragorn II Elessar,,,,Human,"March 1 ,2931",FO 120,Male,,,Dark,"198cm (6'6"")","Reunited Kingdom,Arnor,Gondor",Arwen,,,http://lotr.wikia.com//wiki/Aragorn_II_Elessar,,ObjectId(5cd99d4bde30eff6ebccfbe6)
Aragost,,,,Human,TA 2431,TA 2588,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aragost,,ObjectId(5cd99d4bde30eff6ebccfbe7)
Arahad I,,,,Human,TA 2365,TA 2523,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arahad_I,,ObjectId(5cd99d4bde30eff6ebccfbe8)
Arahad II,,,,Human,TA 2563,TA 2719,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arahad_II,,ObjectId(5cd99d4bde30eff6ebccfbe9)
Arahael,,,,Human,TA 2012,TA 2177,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arahael,,ObjectId(5cd99d4bde30eff6ebccfbea)
Aranarth,,,,Human,TA 1938,TA 2106,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aranarth,,ObjectId(5cd99d4bde30eff6ebccfbeb)
Arantar,,,,Human,TA 185,TA 435,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Arantar,,ObjectId(5cd99d4bde30eff6ebccfbec)
Aranuir,,,,Human,TA 2084,TA 2247,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aranuir,,ObjectId(5cd99d4bde30eff6ebccfbed)
Aranwë,,,,Elf,,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aranw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfbee)
Araphant,,,,Human,TA 1789,TA 1964,Male,,,,,Arthedain,Unnamed wife,,,http://lotr.wikia.com//wiki/Araphant,,ObjectId(5cd99d4bde30eff6ebccfbef)
Arathorn I,,,,Human,TA 2693,TA 2848,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arathorn_I,,ObjectId(5cd99d4bde30eff6ebccfbf0)
Arathorn II,,,,Human,TA 2873,TA 2933,Male,,,Dark (film),,,Gilraen,,,http://lotr.wikia.com//wiki/Arathorn_II,,ObjectId(5cd99d4bde30eff6ebccfbf1)
Araval,,,,Human,TA 1711,TA 1891,Male,,,,,"Arthedain,Arnor",Unnamed wife,,,http://lotr.wikia.com//wiki/Araval,,ObjectId(5cd99d4bde30eff6ebccfbf2)
Aravir,,,,Human,TA 2156,TA 2319,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aravir,,ObjectId(5cd99d4bde30eff6ebccfbf3)
Aravorn,,,,Human,TA 2497,TA 2654,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aravorn,,ObjectId(5cd99d4bde30eff6ebccfbf4)
Arciryas,,,,Human,"After ,TA 1684",,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arciryas,,ObjectId(5cd99d4bde30eff6ebccfbf5)
Arassuil,,,,Human,TA 2628,TA 2784,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Arassuil,,ObjectId(5cd99d4bde30eff6ebccfbf6)
Araphor,,,,Human,TA 1391,TA 1589,Male,,,,,Arthedain,Unnamed wife,,,http://lotr.wikia.com//wiki/Araphor,,ObjectId(5cd99d4bde30eff6ebccfbf7)
Aratan,,,,Human,SA 3339,,Male,,,,,TA 2,"Unknown, possibly known",,,http://lotr.wikia.com//wiki/Aratan,,ObjectId(5cd99d4bde30eff6ebccfbf8)
Ardamir (son of Axantur),,,,Human,SA 562,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur),,ObjectId(5cd99d4bde30eff6ebccfbf9)
Aredhel,,,,Elf,YT 1362,FA 400,Female,,,Dark,Tall,,Eöl,,,http://lotr.wikia.com//wiki/Aredhel,,ObjectId(5cd99d4bde30eff6ebccfbfa)
Argeleb I,,,,Human,TA 1226,TA 1356,Male,,,,,"Arthedain,Arnor",Unnamed wife,,,http://lotr.wikia.com//wiki/Argeleb_I,,ObjectId(5cd99d4bde30eff6ebccfbfb)
Arminas,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Arminas,,ObjectId(5cd99d4bde30eff6ebccfbfc)
Arthad,,,,Human,"Late ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Arthad,,ObjectId(5cd99d4bde30eff6ebccfbfd)
Arvedui,,,,Human,TA 1864,TA 1975,Male,,,,,Arthedain,Fíriel,,,http://lotr.wikia.com//wiki/Arvedui,,ObjectId(5cd99d4bde30eff6ebccfbfe)
Arvegil,,,,Human,TA 1553,TA 1743,Male,,,,,"Arthedain,Arnor",Unnamed wife,,,http://lotr.wikia.com//wiki/Arvegil,,ObjectId(5cd99d4bde30eff6ebccfbff)
Arveleg I,,,,Human,TA 1309,TA 1409,Male,,,,,"Arnor,Arthedain",Unnamed wife,,,http://lotr.wikia.com//wiki/Arveleg_I,,ObjectId(5cd99d4bde30eff6ebccfc00)
Arveleg II,,,,Human,TA 1633,TA 1813,Male,,,,,"Arthedain,Arnor",Unnamed wife,,,http://lotr.wikia.com//wiki/Arveleg_II,,ObjectId(5cd99d4bde30eff6ebccfc01)
Argon,,,,Elf,Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,,,Possibly dark,Tall,,None,,,http://lotr.wikia.com//wiki/Argon,,ObjectId(5cd99d4bde30eff6ebccfc02)
Argonui,,,,Human,TA 2757,TA 2912,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Argonui,,ObjectId(5cd99d4bde30eff6ebccfc03)
Argeleb II,,,,Human,TA 1473,TA 1670,Male,,,,,Arthedain,Unnamed wife,,,http://lotr.wikia.com//wiki/Argeleb_II,,ObjectId(5cd99d4bde30eff6ebccfc04)
Atanatar II,,,,Human,TA 977,TA 1226,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Atanatar_II,,ObjectId(5cd99d4bde30eff6ebccfc05)
Atanalcar,,,,Human,"After ,SA 61","Early ,Second Age",Male,,,,,,Possible unnamed wife,,,http://lotr.wikia.com//wiki/Atanalcar,,ObjectId(5cd99d4bde30eff6ebccfc06)
Arwen,,,,Elf,TA 241,FO 121,Female,,,Black,,Reunited Kingdom,Aragorn II Elessar,,,http://lotr.wikia.com//wiki/Arwen,,ObjectId(5cd99d4bde30eff6ebccfc07)
Azaghâl,,,,Dwarf,FA 214,FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Azagh%C3%A2l,,ObjectId(5cd99d4bde30eff6ebccfc08)
Aulendil (Vardamir's son),,,,Human,SA 213,"Early ,Second Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Aulendil_(Vardamir%27s_son),,ObjectId(5cd99d4bde30eff6ebccfc09)
Angelica Baggins,,,,Hobbit,TA 2981,"Early-,Fourth Age",Female,,,Blonde,,,,,,http://lotr.wikia.com//wiki/Angelica_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc0a)
Axantur,,,,Human,SA 395,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Axantur,,ObjectId(5cd99d4bde30eff6ebccfc0b)
Balbo Baggins,,,,Hobbit,TA 2767,TA 2858,Male,,,,,,Berylla (Boffin) Baggins,,,http://lotr.wikia.com//wiki/Balbo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc0c)
Atanatar I,,,,Human,TA 480,TA 748,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Atanatar_I,,ObjectId(5cd99d4bde30eff6ebccfc0d)
Belladonna (Took) Baggins,,,,Hobbit,TA 2852,TA 2934,Female,,,Black,,,Bungo Baggins,,,http://lotr.wikia.com//wiki/Belladonna_(Took)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc0e)
Berylla (Boffin) Baggins,,,,Hobbit,TA 2772,TA 2871,Female,,,,,,Balbo Baggins,,,http://lotr.wikia.com//wiki/Berylla_(Boffin)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc0f)
Bungo Baggins,,,,Hobbit,TA 2846,TA 2926,Male,,,,,,,,,http://lotr.wikia.com//wiki/Bungo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc10)
Dudo Baggins,,,,Hobbit,TA 2911,TA 3009,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Dudo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc11)
Laura (Grubb) Baggins,,,,Hobbit,TA 2814,TA 2916,Female,,,,,,Mungo Baggins,,,http://lotr.wikia.com//wiki/Laura_(Grubb)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc12)
Fosco Baggins,,,,Hobbit,TA 2864,TA 2960,male,,,,,,Ruby Bolger,,,http://lotr.wikia.com//wiki/Fosco_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc13)
Drogo Baggins,,,,Hobbit,TA 2908,TA 2980,Male,,,,,,Primula Brandybuck,,,http://lotr.wikia.com//wiki/Drogo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc14)
Frodo Baggins,,,,Hobbit,"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,,,Brown,"1.06m (3'6"")",,,,,http://lotr.wikia.com//wiki/Frodo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc15)
Longo Baggins,,,,Hobbit,TA 2860,TA 2950,Male,,,,,,Camellia (Sackville) Baggins,,,http://lotr.wikia.com//wiki/Longo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc16)
Mungo Baggins,,,,Hobbit,TA 2807,TA 2900,Male,,,,,,Laura Grubb,,,http://lotr.wikia.com//wiki/Mungo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc17)
Peony (Baggins) Burrows,,,,Hobbit,TA 2950,,Female,,,,,,Milo Burrows,,,http://lotr.wikia.com//wiki/Peony_(Baggins)_Burrows,,ObjectId(5cd99d4bde30eff6ebccfc18)
Ponto Baggins,,,,Hobbit,TA 2816,TA 2911,Male,,,,,,Mimosa Bunce,,,http://lotr.wikia.com//wiki/Ponto_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc19)
Ponto Baggins II,,,,Hobbit,TA 2946,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Ponto_Baggins_II,,ObjectId(5cd99d4bde30eff6ebccfc1a)
Balin,,,,Dwarf,TA 2763,TA 2994,Male,,,White,,,,,,http://lotr.wikia.com//wiki/Balin,,ObjectId(5cd99d4bde30eff6ebccfc1b)
Baragund,,,,Human,FA 420,FA 460,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Baragund,,ObjectId(5cd99d4bde30eff6ebccfc1c)
Porto Baggins,,,,Hobbit,TA 2948,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Porto_Baggins,,ObjectId(5cd99d4bde30eff6ebccfc1d)
Baran,,,,Human,FA 289,FA 380,Male,,,,,Estolad,Unnamed wife,,,http://lotr.wikia.com//wiki/Baran,,ObjectId(5cd99d4bde30eff6ebccfc1e)
Bain,,,,Human,TA 2925,TA 3007,Male,,,Brown (film),"1.76m / 5'9"" (film)",Dale,Unnamed wife,,,http://lotr.wikia.com//wiki/Bain,,ObjectId(5cd99d4bde30eff6ebccfc1f)
Baranor (Gondor),,,,Human,,,,,,,,,,,,http://lotr.wikia.com//wiki/Baranor_(Gondor),,ObjectId(5cd99d4bde30eff6ebccfc20)
Bard,,,,Human,TA 2898,TA 2977,Male,,,Black (films),,Dale,Unnamed wife,,,http://lotr.wikia.com//wiki/Bard,,ObjectId(5cd99d4bde30eff6ebccfc21)
Bard II,,,,Human,TA 2985,"Early ,Fourth Age",Male,,,,"6'2""","Dale,Lake-town",,,,http://lotr.wikia.com//wiki/Bard_II,,ObjectId(5cd99d4bde30eff6ebccfc22)
Beldir,,,,Human,FA 316,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Beldir,,ObjectId(5cd99d4bde30eff6ebccfc23)
Beldis,,,,Human,"Mid-,First Age",,Female,,,Brown,,,Handir,,,http://lotr.wikia.com//wiki/Beldis,,ObjectId(5cd99d4bde30eff6ebccfc24)
Barahir,,,,Human,FA 402,FA 460,Male,,,Possibly dark,,,Emeldir,,,http://lotr.wikia.com//wiki/Barahir,,ObjectId(5cd99d4bde30eff6ebccfc25)
Belecthor I,,,,Human,TA 2545,TA 2655,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Belecthor_I,,ObjectId(5cd99d4bde30eff6ebccfc26)
Beleg of Arnor,,,,Human,TA 811,TA 1029,Male,,,,,"Arnor,Arthedain",Unnamed wife,,,http://lotr.wikia.com//wiki/Beleg_of_Arnor,,ObjectId(5cd99d4bde30eff6ebccfc27)
Belegorn,,,,Human,TA 2074,TA 2204,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Belegorn,,ObjectId(5cd99d4bde30eff6ebccfc28)
Belegund,,,,Human,"Late ,First Age",FA 460,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Belegund,,ObjectId(5cd99d4bde30eff6ebccfc29)
Belemir,,,,Human,FA 339,,Male,,,,,,Adanel,,,http://lotr.wikia.com//wiki/Belemir,,ObjectId(5cd99d4bde30eff6ebccfc2a)
Belen,,,,Human,FA 292,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Belen,,ObjectId(5cd99d4bde30eff6ebccfc2b)
Beorn,,,,Human,,"Before the ,War of the Ring",Male,,,Black,Tall,,,,,http://lotr.wikia.com//wiki/Beorn,,ObjectId(5cd99d4bde30eff6ebccfc2c)
Bereg,,,,Human,FA 340,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Bereg,,ObjectId(5cd99d4bde30eff6ebccfc2d)
Beregond,,,,Human,TA 2700,TA 2811,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Beregond,,ObjectId(5cd99d4bde30eff6ebccfc2e)
Beregond (Captain),,,,Human,TA 2976,Fourth Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Beregond_(Captain),,ObjectId(5cd99d4bde30eff6ebccfc2f)
Berelach,,,,Human,"Early ,Fourth Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Berelach,,ObjectId(5cd99d4bde30eff6ebccfc30)
Beren,,,,Human,FA 432,FA 466,Male,,,Dark,Tall,,Lúthien Tinúviel,,,http://lotr.wikia.com//wiki/Beren,,ObjectId(5cd99d4bde30eff6ebccfc31)
Baranor,,,,Human,FA 317,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Baranor,,ObjectId(5cd99d4bde30eff6ebccfc32)
Beren (Steward),,,,Human,TA 2655,TA 2763,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Beren_(Steward),,ObjectId(5cd99d4bde30eff6ebccfc33)
Beren (Belemir's son),,,,Human,"Mid ,First Age",,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Beren_(Belemir%27s_son),,ObjectId(5cd99d4bde30eff6ebccfc34)
Bergil,,,,Human,TA 3009,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Bergil,,ObjectId(5cd99d4bde30eff6ebccfc35)
Barahir (Steward),,,,Human,TA 2290,TA 2412,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Barahir_(Steward),,ObjectId(5cd99d4bde30eff6ebccfc36)
Bifur,,,,Dwarf,TA 2814,UnknownFourth Age,Male,,,Black/ Grey (film),"4'5"" (film)",,,,,http://lotr.wikia.com//wiki/Bifur,,ObjectId(5cd99d4bde30eff6ebccfc37)
