name,wikiUrl,race,birth,gender,death,hair,height,realm,spouse,_id
Aldamir,http://lotr.wikia.com//wiki/Aldamir,Human,TA 1330,Male,TA 1540,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbcc)
Amlaith,http://lotr.wikia.com//wiki/Amlaith,Human,TA 726,Male,TA 946,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbcd)
Amroth,http://lotr.wikia.com//wiki/Amroth,Elf,,Male,TA 1981,Golden,,Lórien,Nimrodel,ObjectId(5cd99d4bde30eff6ebccfbce)
Amrothos,http://lotr.wikia.com//wiki/Amrothos,Human,TA 2994,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfbcf)
Anairë,http://lotr.wikia.com//wiki/Anair%C3%AB,Elf,YT,Female,,,,,Fingolfin,ObjectId(5cd99d4bde30eff6ebccfbd0)
Anardil,http://lotr.wikia.com//wiki/Anardil,Human,TA 136,Male,TA 411,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbd1)
Anborn,http://lotr.wikia.com//wiki/Anborn,Human,"Late ,Third Age",Male,,Dark,,,,ObjectId(5cd99d4bde30eff6ebccfbd2)
Andreth,http://lotr.wikia.com//wiki/Andreth,Human,FA 361,Female,FA 455,Dark brown,,,"Loved ,Aegnor, but they never married",ObjectId(5cd99d4bde30eff6ebccfbd3)
Andróg,http://lotr.wikia.com//wiki/Andr%C3%B3g,Human,FA 440,Male,FA 489,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbd4)
Amras,http://lotr.wikia.com//wiki/Amras,Elf,Years of the Trees,Male,FA 538,Dark red,,Estolad,None,ObjectId(5cd99d4bde30eff6ebccfbd5)
Angamaitë,http://lotr.wikia.com//wiki/Angamait%C3%AB,Human,"Mid-,Third Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfbd6)
Amdír,http://lotr.wikia.com//wiki/Amd%C3%ADr,Elf,"Sometime during ,Years of the Trees, or the ,First Age",Male,SA 3434,,,Lórien,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbd7)
Amrod,http://lotr.wikia.com//wiki/Amrod,Elf,Years of the Trees,Male,"YT 1497 ,Losgar",Dark red,,,None,ObjectId(5cd99d4bde30eff6ebccfbd8)
Annael,http://lotr.wikia.com//wiki/Annael,Elf,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfbd9)
Angbor,http://lotr.wikia.com//wiki/Angbor,Human,"Late ,Third Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfbda)
Angelimir,http://lotr.wikia.com//wiki/Angelimir,Human,TA 2866,Male,TA 2977,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbdb)
Angrod,http://lotr.wikia.com//wiki/Angrod,Elf,YT,Male,FA 455,Golden,,,Eldalótë,ObjectId(5cd99d4bde30eff6ebccfbdc)
Anárion,http://lotr.wikia.com//wiki/An%C3%A1rion,Human,SA 3219,Male,SA 3440,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbdd)
Ar-Adûnakhôr,http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r,Human,SA 2709,Male,SA 2962,,,Númenor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbde)
Ar-Gimilzôr,http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r,Human,SA 2960,Male,SA 3177,,,Númenor,Inzilbêth,ObjectId(5cd99d4bde30eff6ebccfbdf)
Ar-Zimrathôn,http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n,Human,SA 2798,Male,SA 3033,,,Númenor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe0)
Ar-Pharazôn,http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n,Human,SA 3118,Male,Still alive,,Tall,Númenor,Tar-Míriel,ObjectId(5cd99d4bde30eff6ebccfbe1)
Ar-Sakalthôr,http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r,Human,SA 2876,Male,SA 3102,,,Númenor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe2)
Arador,http://lotr.wikia.com//wiki/Arador,Human,TA 2820,Male,TA 2930,"Dark, then grey (film)",,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe3)
Araglas,http://lotr.wikia.com//wiki/Araglas,Human,TA 2296,Male,TA 2455,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe4)
Aragorn I,http://lotr.wikia.com//wiki/Aragorn_I,Human,TA 2227,Male,TA 2327,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe5)
Aragorn II Elessar,http://lotr.wikia.com//wiki/Aragorn_II_Elessar,Human,"March 1 ,2931",Male,FO 120,Dark,"198cm (6'6"")","Reunited Kingdom,Arnor,Gondor",Arwen,ObjectId(5cd99d4bde30eff6ebccfbe6)
Aragost,http://lotr.wikia.com//wiki/Aragost,Human,TA 2431,Male,TA 2588,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe7)
Arahad I,http://lotr.wikia.com//wiki/Arahad_I,Human,TA 2365,Male,TA 2523,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe8)
Arahad II,http://lotr.wikia.com//wiki/Arahad_II,Human,TA 2563,Male,TA 2719,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbe9)
Arahael,http://lotr.wikia.com//wiki/Arahael,Human,TA 2012,Male,TA 2177,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbea)
Aranarth,http://lotr.wikia.com//wiki/Aranarth,Human,TA 1938,Male,TA 2106,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbeb)
Arantar,http://lotr.wikia.com//wiki/Arantar,Human,TA 185,Male,TA 435,,,Arnor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbec)
Aranuir,http://lotr.wikia.com//wiki/Aranuir,Human,TA 2084,Male,TA 2247,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbed)
Aranwë,http://lotr.wikia.com//wiki/Aranw%C3%AB,Elf,,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbee)
Araphant,http://lotr.wikia.com//wiki/Araphant,Human,TA 1789,Male,TA 1964,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbef)
Arathorn I,http://lotr.wikia.com//wiki/Arathorn_I,Human,TA 2693,Male,TA 2848,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf0)
Arathorn II,http://lotr.wikia.com//wiki/Arathorn_II,Human,TA 2873,Male,TA 2933,Dark (film),,,Gilraen,ObjectId(5cd99d4bde30eff6ebccfbf1)
Araval,http://lotr.wikia.com//wiki/Araval,Human,TA 1711,Male,TA 1891,,,"Arthedain,Arnor",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf2)
Aravir,http://lotr.wikia.com//wiki/Aravir,Human,TA 2156,Male,TA 2319,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf3)
Aravorn,http://lotr.wikia.com//wiki/Aravorn,Human,TA 2497,Male,TA 2654,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf4)
Arciryas,http://lotr.wikia.com//wiki/Arciryas,Human,"After ,TA 1684",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf5)
Arassuil,http://lotr.wikia.com//wiki/Arassuil,Human,TA 2628,Male,TA 2784,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf6)
Araphor,http://lotr.wikia.com//wiki/Araphor,Human,TA 1391,Male,TA 1589,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbf7)
Aratan,http://lotr.wikia.com//wiki/Aratan,Human,SA 3339,Male,,,,TA 2,"Unknown, possibly known",ObjectId(5cd99d4bde30eff6ebccfbf8)
Ardamir (son of Axantur),http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur),Human,SA 562,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfbf9)
Aredhel,http://lotr.wikia.com//wiki/Aredhel,Elf,YT 1362,Female,FA 400,Dark,Tall,,Eöl,ObjectId(5cd99d4bde30eff6ebccfbfa)
Argeleb I,http://lotr.wikia.com//wiki/Argeleb_I,Human,TA 1226,Male,TA 1356,,,"Arthedain,Arnor",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbfb)
Arminas,http://lotr.wikia.com//wiki/Arminas,Elf,,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfbfc)
Arthad,http://lotr.wikia.com//wiki/Arthad,Human,"Late ,First Age",Male,FA 460,,,,,ObjectId(5cd99d4bde30eff6ebccfbfd)
Arvedui,http://lotr.wikia.com//wiki/Arvedui,Human,TA 1864,Male,TA 1975,,,Arthedain,Fíriel,ObjectId(5cd99d4bde30eff6ebccfbfe)
Arvegil,http://lotr.wikia.com//wiki/Arvegil,Human,TA 1553,Male,TA 1743,,,"Arthedain,Arnor",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbff)
Arveleg I,http://lotr.wikia.com//wiki/Arveleg_I,Human,TA 1309,Male,TA 1409,,,"Arnor,Arthedain",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc00)
Arveleg II,http://lotr.wikia.com//wiki/Arveleg_II,Human,TA 1633,Male,TA 1813,,,"Arthedain,Arnor",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc01)
Argon,http://lotr.wikia.com//wiki/Argon,Elf,Years of the Trees,Male,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Possibly dark,Tall,,None,ObjectId(5cd99d4bde30eff6ebccfc02)
Argonui,http://lotr.wikia.com//wiki/Argonui,Human,TA 2757,Male,TA 2912,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc03)
Argeleb II,http://lotr.wikia.com//wiki/Argeleb_II,Human,TA 1473,Male,TA 1670,,,Arthedain,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc04)
Atanatar II,http://lotr.wikia.com//wiki/Atanatar_II,Human,TA 977,Male,TA 1226,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc05)
Atanalcar,http://lotr.wikia.com//wiki/Atanalcar,Human,"After ,SA 61",Male,"Early ,Second Age",,,,Possible unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc06)
Arwen,http://lotr.wikia.com//wiki/Arwen,Elf,TA 241,Female,FO 121,Black,,Reunited Kingdom,Aragorn II Elessar,ObjectId(5cd99d4bde30eff6ebccfc07)
Azaghâl,http://lotr.wikia.com//wiki/Azagh%C3%A2l,Dwarf,FA 214,Male,FA 473,,,,,ObjectId(5cd99d4bde30eff6ebccfc08)
Aulendil (Vardamir's son),http://lotr.wikia.com//wiki/Aulendil_(Vardamir%27s_son),Human,SA 213,Male,"Early ,Second Age",,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc09)
Angelica Baggins,http://lotr.wikia.com//wiki/Angelica_Baggins,Hobbit,TA 2981,Female,"Early-,Fourth Age",Blonde,,,,ObjectId(5cd99d4bde30eff6ebccfc0a)
Axantur,http://lotr.wikia.com//wiki/Axantur,Human,SA 395,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc0b)
Balbo Baggins,http://lotr.wikia.com//wiki/Balbo_Baggins,Hobbit,TA 2767,Male,TA 2858,,,,Berylla (Boffin) Baggins,ObjectId(5cd99d4bde30eff6ebccfc0c)
Atanatar I,http://lotr.wikia.com//wiki/Atanatar_I,Human,TA 480,Male,TA 748,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc0d)
Belladonna (Took) Baggins,http://lotr.wikia.com//wiki/Belladonna_(Took)_Baggins,Hobbit,TA 2852,Female,TA 2934,Black,,,Bungo Baggins,ObjectId(5cd99d4bde30eff6ebccfc0e)
Berylla (Boffin) Baggins,http://lotr.wikia.com//wiki/Berylla_(Boffin)_Baggins,Hobbit,TA 2772,Female,TA 2871,,,,Balbo Baggins,ObjectId(5cd99d4bde30eff6ebccfc0f)
Bungo Baggins,http://lotr.wikia.com//wiki/Bungo_Baggins,Hobbit,TA 2846,Male,TA 2926,,,,,ObjectId(5cd99d4bde30eff6ebccfc10)
Dudo Baggins,http://lotr.wikia.com//wiki/Dudo_Baggins,Hobbit,TA 2911,Male,TA 3009,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc11)
Laura (Grubb) Baggins,http://lotr.wikia.com//wiki/Laura_(Grubb)_Baggins,Hobbit,TA 2814,Female,TA 2916,,,,Mungo Baggins,ObjectId(5cd99d4bde30eff6ebccfc12)
Fosco Baggins,http://lotr.wikia.com//wiki/Fosco_Baggins,Hobbit,TA 2864,male,TA 2960,,,,Ruby Bolger,ObjectId(5cd99d4bde30eff6ebccfc13)
Drogo Baggins,http://lotr.wikia.com//wiki/Drogo_Baggins,Hobbit,TA 2908,Male,TA 2980,,,,Primula Brandybuck,ObjectId(5cd99d4bde30eff6ebccfc14)
Frodo Baggins,http://lotr.wikia.com//wiki/Frodo_Baggins,Hobbit,"22 September ,TA 2968",Male,"Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Brown,"1.06m (3'6"")",,,ObjectId(5cd99d4bde30eff6ebccfc15)
Longo Baggins,http://lotr.wikia.com//wiki/Longo_Baggins,Hobbit,TA 2860,Male,TA 2950,,,,Camellia (Sackville) Baggins,ObjectId(5cd99d4bde30eff6ebccfc16)
Mungo Baggins,http://lotr.wikia.com//wiki/Mungo_Baggins,Hobbit,TA 2807,Male,TA 2900,,,,Laura Grubb,ObjectId(5cd99d4bde30eff6ebccfc17)
Peony (Baggins) Burrows,http://lotr.wikia.com//wiki/Peony_(Baggins)_Burrows,Hobbit,TA 2950,Female,,,,,Milo Burrows,ObjectId(5cd99d4bde30eff6ebccfc18)
Ponto Baggins,http://lotr.wikia.com//wiki/Ponto_Baggins,Hobbit,TA 2816,Male,TA 2911,,,,Mimosa Bunce,ObjectId(5cd99d4bde30eff6ebccfc19)
Ponto Baggins II,http://lotr.wikia.com//wiki/Ponto_Baggins_II,Hobbit,TA 2946,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc1a)
Balin,http://lotr.wikia.com//wiki/Balin,Dwarf,TA 2763,Male,TA 2994,White,,,,ObjectId(5cd99d4bde30eff6ebccfc1b)
Baragund,http://lotr.wikia.com//wiki/Baragund,Human,FA 420,Male,FA 460,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc1c)
Porto Baggins,http://lotr.wikia.com//wiki/Porto_Baggins,Hobbit,TA 2948,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc1d)
Baran,http://lotr.wikia.com//wiki/Baran,Human,FA 289,Male,FA 380,,,Estolad,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc1e)
Bain,http://lotr.wikia.com//wiki/Bain,Human,TA 2925,Male,TA 3007,Brown (film),"1.76m / 5'9"" (film)",Dale,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc1f)
Baranor (Gondor),http://lotr.wikia.com//wiki/Baranor_(Gondor),Human,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfc20)
Bard,http://lotr.wikia.com//wiki/Bard,Human,TA 2898,Male,TA 2977,Black (films),,Dale,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc21)
Bard II,http://lotr.wikia.com//wiki/Bard_II,Human,TA 2985,Male,"Early ,Fourth Age",,"6'2""","Dale,Lake-town",,ObjectId(5cd99d4bde30eff6ebccfc22)
Beldir,http://lotr.wikia.com//wiki/Beldir,Human,FA 316,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc23)
Beldis,http://lotr.wikia.com//wiki/Beldis,Human,"Mid-,First Age",Female,,Brown,,,Handir,ObjectId(5cd99d4bde30eff6ebccfc24)
Barahir,http://lotr.wikia.com//wiki/Barahir,Human,FA 402,Male,FA 460,Possibly dark,,,Emeldir,ObjectId(5cd99d4bde30eff6ebccfc25)
Belecthor I,http://lotr.wikia.com//wiki/Belecthor_I,Human,TA 2545,Male,TA 2655,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc26)
Beleg of Arnor,http://lotr.wikia.com//wiki/Beleg_of_Arnor,Human,TA 811,Male,TA 1029,,,"Arnor,Arthedain",Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc27)
Belegorn,http://lotr.wikia.com//wiki/Belegorn,Human,TA 2074,Male,TA 2204,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc28)
Belegund,http://lotr.wikia.com//wiki/Belegund,Human,"Late ,First Age",Male,FA 460,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc29)
Belemir,http://lotr.wikia.com//wiki/Belemir,Human,FA 339,Male,,,,,Adanel,ObjectId(5cd99d4bde30eff6ebccfc2a)
Belen,http://lotr.wikia.com//wiki/Belen,Human,FA 292,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc2b)
Beorn,http://lotr.wikia.com//wiki/Beorn,Human,,Male,"Before the ,War of the Ring",Black,Tall,,,ObjectId(5cd99d4bde30eff6ebccfc2c)
Bereg,http://lotr.wikia.com//wiki/Bereg,Human,FA 340,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc2d)
Beregond,http://lotr.wikia.com//wiki/Beregond,Human,TA 2700,Male,TA 2811,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc2e)
Beregond (Captain),http://lotr.wikia.com//wiki/Beregond_(Captain),Human,TA 2976,Male,Fourth Age,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc2f)
Berelach,http://lotr.wikia.com//wiki/Berelach,Human,"Early ,Fourth Age",Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc30)
Beren,http://lotr.wikia.com//wiki/Beren,Human,FA 432,Male,FA 466,Dark,Tall,,Lúthien Tinúviel,ObjectId(5cd99d4bde30eff6ebccfc31)
Baranor,http://lotr.wikia.com//wiki/Baranor,Human,FA 317,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc32)
Beren (Steward),http://lotr.wikia.com//wiki/Beren_(Steward),Human,TA 2655,Male,TA 2763,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc33)
Beren (Belemir's son),http://lotr.wikia.com//wiki/Beren_(Belemir%27s_son),Human,"Mid ,First Age",Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc34)
Bergil,http://lotr.wikia.com//wiki/Bergil,Human,TA 3009,Male,,,,,,ObjectId(5cd99d4bde30eff6ebccfc35)
Barahir (Steward),http://lotr.wikia.com//wiki/Barahir_(Steward),Human,TA 2290,Male,TA 2412,,,Gondor,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc36)
Bifur,http://lotr.wikia.com//wiki/Bifur,Dwarf,TA 2814,Male,UnknownFourth Age,Black/ Grey (film),"4'5"" (film)",,,ObjectId(5cd99d4bde30eff6ebccfc37)
Bilbo Baggins,http://lotr.wikia.com//wiki/Bilbo_Baggins,Hobbit,"22 September ,TA 2890",Male,"Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)","Brown, later white","1.25m (4'1"")",,None,ObjectId(5cd99d4bde30eff6ebccfc38)
Bladorthin,http://lotr.wikia.com//wiki/Bladorthin,Human,,Male,Late Third Age,,,"Lake-town,Dale,Rhûn,Dorwinion",,ObjectId(5cd99d4bde30eff6ebccfc39)
Black Serpent,http://lotr.wikia.com//wiki/Black_Serpent,Human,"Late ,Third Age",Male,"March 15 ,3019",,,,,ObjectId(5cd99d4bde30eff6ebccfc3a)
Blanco,http://lotr.wikia.com//wiki/Blanco,Hobbit,TA 1560,Male,"Sometime after ,TA 1601",,,,,ObjectId(5cd99d4bde30eff6ebccfc3b)
Belecthor II,http://lotr.wikia.com//wiki/Belecthor_II,Human,TA 2752,Male,TA 2872,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc3c)
Bob,http://lotr.wikia.com//wiki/Bob,Hobbit,"Late ,Third Age",Male,"Early ,Fourth Age",,,,,ObjectId(5cd99d4bde30eff6ebccfc3d)
Donnamira (Took) Boffin,http://lotr.wikia.com//wiki/Donnamira_(Took)_Boffin,Hobbit,TA 2856,Female,TA 2948,,,,Hugo Boffin,ObjectId(5cd99d4bde30eff6ebccfc3e)
Daisy (Baggins) Boffin,http://lotr.wikia.com//wiki/Daisy_(Baggins)_Boffin,Hobbit,TA 2950,Female,,,,,Griffo Boffin,ObjectId(5cd99d4bde30eff6ebccfc3f)
Bosco Boffin,http://lotr.wikia.com//wiki/Bosco_Boffin,Hobbit,TA 2767,Male,TA 2858,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc40)
Folco Boffin,http://lotr.wikia.com//wiki/Folco_Boffin,Hobbit,TA 2978,Male,"Early ,Fourth Age",,,,,ObjectId(5cd99d4bde30eff6ebccfc41)
Gerda (Boffin) Bolger,http://lotr.wikia.com//wiki/Gerda_(Boffin)_Bolger,Hobbit,TA 2904,Female,TA 3004,,,,Adalbert Bolger,ObjectId(5cd99d4bde30eff6ebccfc42)
Griffo Boffin,http://lotr.wikia.com//wiki/Griffo_Boffin,Hobbit,TA 2946,Male,,,,,Daisy Baggins,ObjectId(5cd99d4bde30eff6ebccfc43)
Hugo Boffin,http://lotr.wikia.com//wiki/Hugo_Boffin,Hobbit,TA 2854,Male,TA 2945,,,,Donnamira Took,ObjectId(5cd99d4bde30eff6ebccfc44)
Ivy (Goodenough) Boffin,http://lotr.wikia.com//wiki/Ivy_(Goodenough)_Boffin,Hobbit,"Late ,Third Age",Female,Late Third Age,,,,Buffo Boffin,ObjectId(5cd99d4bde30eff6ebccfc45)
Basso Boffin,http://lotr.wikia.com//wiki/Basso_Boffin,Hobbit,TA 2769,Male,,,,,None,ObjectId(5cd99d4bde30eff6ebccfc46)
Otto Boffin,http://lotr.wikia.com//wiki/Otto_Boffin,Hobbit,TA 2812,Male,TA 2900,,,,Lavender Grubb,ObjectId(5cd99d4bde30eff6ebccfc47)
Rollo Boffin,http://lotr.wikia.com//wiki/Rollo_Boffin,Hobbit,TA 2860,Male,,,,,Lavender Grubb,ObjectId(5cd99d4bde30eff6ebccfc48)
Tosto Boffin,http://lotr.wikia.com//wiki/Tosto_Boffin,Hobbit,TA 2988,Male,"Early-,Fourth Age",,,,,ObjectId(5cd99d4bde30eff6ebccfc49)
Vigo Boffin,http://lotr.wikia.com//wiki/Vigo_Boffin,Hobbit,,,,,,,,ObjectId(5cd99d4bde30eff6ebccfc4a)
Druda Burrows Boffin,http://lotr.wikia.com//wiki/Druda_Burrows_Boffin,Hobbit,"before ,TA 2860",Female,,,,,Rollo Boffin,ObjectId(5cd99d4bde30eff6ebccfc4b)
Filibert Bolger,http://lotr.wikia.com//wiki/Filibert_Bolger,Hobbit,TA 2942,Male,FO 22,Brown (movie),,,Poppy Chubb-Baggins,ObjectId(5cd99d4bde30eff6ebccfc4c)
Fredegar Bolger,http://lotr.wikia.com//wiki/Fredegar_Bolger,Hobbit,TA 2980,Male,"Early ,Fourth Age",,,,"unknown, possibly unmarried",ObjectId(5cd99d4bde30eff6ebccfc4d)
Jessamine (Boffin) Bolger,http://lotr.wikia.com//wiki/Jessamine_(Boffin)_Bolger,Hobbit,TA 2897,Female,"Late ,Third Age",,,,Herugar Bolger,ObjectId(5cd99d4bde30eff6ebccfc4e)
Bofur,http://lotr.wikia.com//wiki/Bofur,Dwarf,TA 2843,Male,,Dark Brown (films),,,,ObjectId(5cd99d4bde30eff6ebccfc4f)
Odovacar Bolger,http://lotr.wikia.com//wiki/Odovacar_Bolger,Hobbit,TA 2935,Male,FO 10,,,,Rosamunda Took,ObjectId(5cd99d4bde30eff6ebccfc50)
Rosamunda (Took) Bolger,http://lotr.wikia.com//wiki/Rosamunda_(Took)_Bolger,Hobbit,TA 2938,Female,,,,,Odovacar Bolger,ObjectId(5cd99d4bde30eff6ebccfc51)
Jago Boffin,http://lotr.wikia.com//wiki/Jago_Boffin,Hobbit,TA 2894,Male,TA 2986,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc52)
Buffo Boffin,http://lotr.wikia.com//wiki/Buffo_Boffin,Hobbit,"Late ,Third Age",Male,"Late ,Third Age",,,,Ivy Goodenough,ObjectId(5cd99d4bde30eff6ebccfc53)
Bombur,http://lotr.wikia.com//wiki/Bombur,Dwarf,TA 2834,Male,,Ginger,,,,ObjectId(5cd99d4bde30eff6ebccfc54)
Borlad,http://lotr.wikia.com//wiki/Borlad,Human,"Late ,First Age",Male,FA 473,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc55)
Borlas,http://lotr.wikia.com//wiki/Borlas,Human,TA 3011,Male,,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc56)
Boromir,http://lotr.wikia.com//wiki/Boromir,Human,TA 2978,Male,"February 26 ,3019",Dark (book) Light brown (movie),,,,ObjectId(5cd99d4bde30eff6ebccfc57)
Boromir (House of Bëor),http://lotr.wikia.com//wiki/Boromir_(House_of_B%C3%ABor),Human,FA 338,Male,FA 432,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfc58)
