_id,Name,Url,Race,birth,death,gender,hair,height,realm,spouse,race
ObjectId(5cd99d4bde30eff6ebccfbe8),Arahad I,http://lotr.wikia.com//wiki/Arahad_I,Human,TA 2365,TA 2523,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbe9),Arahad II,http://lotr.wikia.com//wiki/Arahad_II,Human,TA 2563,TA 2719,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbea),Arahael,http://lotr.wikia.com//wiki/Arahael,Human,TA 2012,TA 2177,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbeb),Aranarth,http://lotr.wikia.com//wiki/Aranarth,Human,TA 1938,TA 2106,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbec),Arantar,http://lotr.wikia.com//wiki/Arantar,Human,TA 185,TA 435,Male,,,Arnor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbed),Aranuir,http://lotr.wikia.com//wiki/Aranuir,Human,TA 2084,TA 2247,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbee),Aranwë,http://lotr.wikia.com//wiki/Aranw%C3%AB,Elf,,,Male,,,,Unnamed wife,Elves
ObjectId(5cd99d4bde30eff6ebccfbef),Araphant,http://lotr.wikia.com//wiki/Araphant,Human,TA 1789,TA 1964,Male,,,Arthedain,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf0),Arathorn I,http://lotr.wikia.com//wiki/Arathorn_I,Human,TA 2693,TA 2848,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf1),Arathorn II,http://lotr.wikia.com//wiki/Arathorn_II,Human,TA 2873,TA 2933,Male,Dark (film),,,Gilraen,Men
ObjectId(5cd99d4bde30eff6ebccfbf2),Araval,http://lotr.wikia.com//wiki/Araval,Human,TA 1711,TA 1891,Male,,,"Arthedain,Arnor",Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf3),Aravir,http://lotr.wikia.com//wiki/Aravir,Human,TA 2156,TA 2319,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf4),Aravorn,http://lotr.wikia.com//wiki/Aravorn,Human,TA 2497,TA 2654,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf5),Arciryas,http://lotr.wikia.com//wiki/Arciryas,Human,"After ,TA 1684",,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf6),Arassuil,http://lotr.wikia.com//wiki/Arassuil,Human,TA 2628,TA 2784,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf7),Araphor,http://lotr.wikia.com//wiki/Araphor,Human,TA 1391,TA 1589,Male,,,Arthedain,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbf8),Aratan,http://lotr.wikia.com//wiki/Aratan,Human,SA 3339,,Male,,,TA 2,"Unknown, possibly known",Men
ObjectId(5cd99d4bde30eff6ebccfbf9),Ardamir (son of Axantur),http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur),Human,SA 562,,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbfa),Aredhel,http://lotr.wikia.com//wiki/Aredhel,Elf,YT 1362,FA 400,Female,Dark,Tall,,Eöl,Elves
ObjectId(5cd99d4bde30eff6ebccfbfb),Argeleb I,http://lotr.wikia.com//wiki/Argeleb_I,Human,TA 1226,TA 1356,Male,,,"Arthedain,Arnor",Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbfc),Arminas,http://lotr.wikia.com//wiki/Arminas,Elf,,,Male,,,,,Elves
ObjectId(5cd99d4bde30eff6ebccfbfd),Arthad,http://lotr.wikia.com//wiki/Arthad,Human,"Late ,First Age",FA 460,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbfe),Arvedui,http://lotr.wikia.com//wiki/Arvedui,Human,TA 1864,TA 1975,Male,,,Arthedain,Fíriel,Men
ObjectId(5cd99d4bde30eff6ebccfbff),Arvegil,http://lotr.wikia.com//wiki/Arvegil,Human,TA 1553,TA 1743,Male,,,"Arthedain,Arnor",Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc00),Arveleg I,http://lotr.wikia.com//wiki/Arveleg_I,Human,TA 1309,TA 1409,Male,,,"Arnor,Arthedain",Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc01),Arveleg II,http://lotr.wikia.com//wiki/Arveleg_II,Human,TA 1633,TA 1813,Male,,,"Arthedain,Arnor",Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc02),Argon,http://lotr.wikia.com//wiki/Argon,Elf,Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,Possibly dark,Tall,,None,Elves
ObjectId(5cd99d4bde30eff6ebccfc03),Argonui,http://lotr.wikia.com//wiki/Argonui,Human,TA 2757,TA 2912,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc04),Argeleb II,http://lotr.wikia.com//wiki/Argeleb_II,Human,TA 1473,TA 1670,Male,,,Arthedain,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc05),Atanatar II,http://lotr.wikia.com//wiki/Atanatar_II,Human,TA 977,TA 1226,Male,,,Gondor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc06),Atanalcar,http://lotr.wikia.com//wiki/Atanalcar,Human,"After ,SA 61","Early ,Second Age",Male,,,,Possible unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc07),Arwen,http://lotr.wikia.com//wiki/Arwen,Elf,TA 241,FO 121,Female,Black,,Reunited Kingdom,Aragorn II Elessar,"Half-elven,Men"
ObjectId(5cd99d4bde30eff6ebccfc08),Azaghâl,http://lotr.wikia.com//wiki/Azagh%C3%A2l,Dwarf,FA 214,FA 473,Male,,,,,Dwarves
ObjectId(5cd99d4bde30eff6ebccfc09),Aulendil (Vardamir's son),http://lotr.wikia.com//wiki/Aulendil_(Vardamir%27s_son),Human,SA 213,"Early ,Second Age",Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc0a),Angelica Baggins,http://lotr.wikia.com//wiki/Angelica_Baggins,Hobbit,TA 2981,"Early-,Fourth Age",Female,Blonde,,,,Hobbit
ObjectId(5cd99d4bde30eff6ebccfc0b),Axantur,http://lotr.wikia.com//wiki/Axantur,Human,SA 395,,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc0c),Balbo Baggins,http://lotr.wikia.com//wiki/Balbo_Baggins,Hobbit,TA 2767,TA 2858,Male,,,,Berylla (Boffin) Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc0d),Atanatar I,http://lotr.wikia.com//wiki/Atanatar_I,Human,TA 480,TA 748,Male,,,Gondor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc0e),Belladonna (Took) Baggins,http://lotr.wikia.com//wiki/Belladonna_(Took)_Baggins,Hobbit,TA 2852,TA 2934,Female,Black,,,Bungo Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc0f),Berylla (Boffin) Baggins,http://lotr.wikia.com//wiki/Berylla_(Boffin)_Baggins,Hobbit,TA 2772,TA 2871,Female,,,,Balbo Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc10),Bungo Baggins,http://lotr.wikia.com//wiki/Bungo_Baggins,Hobbit,TA 2846,TA 2926,Male,,,,,Hobbit
ObjectId(5cd99d4bde30eff6ebccfc11),Dudo Baggins,http://lotr.wikia.com//wiki/Dudo_Baggins,Hobbit,TA 2911,TA 3009,Male,,,,Unnamed wife,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc12),Laura (Grubb) Baggins,http://lotr.wikia.com//wiki/Laura_(Grubb)_Baggins,Hobbit,TA 2814,TA 2916,Female,,,,Mungo Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc13),Fosco Baggins,http://lotr.wikia.com//wiki/Fosco_Baggins,Hobbit,TA 2864,TA 2960,male,,,,Ruby Bolger,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc14),Drogo Baggins,http://lotr.wikia.com//wiki/Drogo_Baggins,Hobbit,TA 2908,TA 2980,Male,,,,Primula Brandybuck,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc15),Frodo Baggins,http://lotr.wikia.com//wiki/Frodo_Baggins,Hobbit,"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,Brown,"1.06m (3'6"")",,,Hobbit
ObjectId(5cd99d4bde30eff6ebccfc16),Longo Baggins,http://lotr.wikia.com//wiki/Longo_Baggins,Hobbit,TA 2860,TA 2950,Male,,,,Camellia (Sackville) Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc17),Mungo Baggins,http://lotr.wikia.com//wiki/Mungo_Baggins,Hobbit,TA 2807,TA 2900,Male,,,,Laura Grubb,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc18),Peony (Baggins) Burrows,http://lotr.wikia.com//wiki/Peony_(Baggins)_Burrows,Hobbit,TA 2950,,Female,,,,Milo Burrows,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc19),Ponto Baggins,http://lotr.wikia.com//wiki/Ponto_Baggins,Hobbit,TA 2816,TA 2911,Male,,,,Mimosa Bunce,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc1a),Ponto Baggins II,http://lotr.wikia.com//wiki/Ponto_Baggins_II,Hobbit,TA 2946,,Male,,,,Unnamed wife,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc1b),Balin,http://lotr.wikia.com//wiki/Balin,Dwarf,TA 2763,TA 2994,Male,White,,,,Dwarves
ObjectId(5cd99d4bde30eff6ebccfc1c),Baragund,http://lotr.wikia.com//wiki/Baragund,Human,FA 420,FA 460,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc1d),Porto Baggins,http://lotr.wikia.com//wiki/Porto_Baggins,Hobbit,TA 2948,,Male,,,,,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc1e),Baran,http://lotr.wikia.com//wiki/Baran,Human,FA 289,FA 380,Male,,,Estolad,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc1f),Bain,http://lotr.wikia.com//wiki/Bain,Human,TA 2925,TA 3007,Male,Brown (film),"1.76m / 5'9"" (film)",Dale,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc20),Baranor (Gondor),http://lotr.wikia.com//wiki/Baranor_(Gondor),Human,,,,,,,,
ObjectId(5cd99d4bde30eff6ebccfc21),Bard,http://lotr.wikia.com//wiki/Bard,Human,TA 2898,TA 2977,Male,Black (films),,Dale,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc22),Bard II,http://lotr.wikia.com//wiki/Bard_II,Human,TA 2985,"Early ,Fourth Age",Male,,"6'2""","Dale,Lake-town",,Men
ObjectId(5cd99d4bde30eff6ebccfc23),Beldir,http://lotr.wikia.com//wiki/Beldir,Human,FA 316,,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc24),Beldis,http://lotr.wikia.com//wiki/Beldis,Human,"Mid-,First Age",,Female,Brown,,,Handir,Men
ObjectId(5cd99d4bde30eff6ebccfc25),Barahir,http://lotr.wikia.com//wiki/Barahir,Human,FA 402,FA 460,Male,Possibly dark,,,Emeldir,Men
ObjectId(5cd99d4bde30eff6ebccfc26),Belecthor I,http://lotr.wikia.com//wiki/Belecthor_I,Human,TA 2545,TA 2655,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc27),Beleg of Arnor,http://lotr.wikia.com//wiki/Beleg_of_Arnor,Human,TA 811,TA 1029,Male,,,"Arnor,Arthedain",Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc28),Belegorn,http://lotr.wikia.com//wiki/Belegorn,Human,TA 2074,TA 2204,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc29),Belegund,http://lotr.wikia.com//wiki/Belegund,Human,"Late ,First Age",FA 460,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc2a),Belemir,http://lotr.wikia.com//wiki/Belemir,Human,FA 339,,Male,,,,Adanel,Men
ObjectId(5cd99d4bde30eff6ebccfc2b),Belen,http://lotr.wikia.com//wiki/Belen,Human,FA 292,,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc2c),Beorn,http://lotr.wikia.com//wiki/Beorn,Human,,"Before the ,War of the Ring",Male,Black,Tall,,,Skin-changer
ObjectId(5cd99d4bde30eff6ebccfc2d),Bereg,http://lotr.wikia.com//wiki/Bereg,Human,FA 340,,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfc2e),Beregond,http://lotr.wikia.com//wiki/Beregond,Human,TA 2700,TA 2811,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc2f),Beregond (Captain),http://lotr.wikia.com//wiki/Beregond_(Captain),Human,TA 2976,Fourth Age,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc30),Berelach,http://lotr.wikia.com//wiki/Berelach,Human,"Early ,Fourth Age",,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfc31),Beren,http://lotr.wikia.com//wiki/Beren,Human,FA 432,FA 466,Male,Dark,Tall,,Lúthien Tinúviel,Men
ObjectId(5cd99d4bde30eff6ebccfc32),Baranor,http://lotr.wikia.com//wiki/Baranor,Human,FA 317,,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc33),Beren (Steward),http://lotr.wikia.com//wiki/Beren_(Steward),Human,TA 2655,TA 2763,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc34),Beren (Belemir's son),http://lotr.wikia.com//wiki/Beren_(Belemir%27s_son),Human,"Mid ,First Age",,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc35),Bergil,http://lotr.wikia.com//wiki/Bergil,Human,TA 3009,,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfc36),Barahir (Steward),http://lotr.wikia.com//wiki/Barahir_(Steward),Human,TA 2290,TA 2412,Male,,,Gondor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc37),Bifur,http://lotr.wikia.com//wiki/Bifur,Dwarf,TA 2814,UnknownFourth Age,Male,Black/ Grey (film),"4'5"" (film)",,,Dwarves
ObjectId(5cd99d4bde30eff6ebccfc38),Bilbo Baggins,http://lotr.wikia.com//wiki/Bilbo_Baggins,Hobbit,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",,None,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc39),Bladorthin,http://lotr.wikia.com//wiki/Bladorthin,Human,,Late Third Age,Male,,,"Lake-town,Dale,Rhûn,Dorwinion",,Men
ObjectId(5cd99d4bde30eff6ebccfc3a),Black Serpent,http://lotr.wikia.com//wiki/Black_Serpent,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfc3b),Blanco,http://lotr.wikia.com//wiki/Blanco,Hobbit,TA 1560,"Sometime after ,TA 1601",Male,,,,,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc3c),Belecthor II,http://lotr.wikia.com//wiki/Belecthor_II,Human,TA 2752,TA 2872,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfc3d),Bob,http://lotr.wikia.com//wiki/Bob,Hobbit,"Late ,Third Age","Early ,Fourth Age",Male,,,,,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc3e),Donnamira (Took) Boffin,http://lotr.wikia.com//wiki/Donnamira_(Took)_Boffin,Hobbit,TA 2856,TA 2948,Female,,,,Hugo Boffin,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc3f),Daisy (Baggins) Boffin,http://lotr.wikia.com//wiki/Daisy_(Baggins)_Boffin,Hobbit,TA 2950,,Female,,,,Griffo Boffin,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc40),Bosco Boffin,http://lotr.wikia.com//wiki/Bosco_Boffin,Hobbit,TA 2767,TA 2858,Male,,,,Unnamed wife,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc41),Folco Boffin,http://lotr.wikia.com//wiki/Folco_Boffin,Hobbit,TA 2978,"Early ,Fourth Age",Male,,,,,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc42),Gerda (Boffin) Bolger,http://lotr.wikia.com//wiki/Gerda_(Boffin)_Bolger,Hobbit,TA 2904,TA 3004,Female,,,,Adalbert Bolger,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc43),Griffo Boffin,http://lotr.wikia.com//wiki/Griffo_Boffin,Hobbit,TA 2946,,Male,,,,Daisy Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc44),Hugo Boffin,http://lotr.wikia.com//wiki/Hugo_Boffin,Hobbit,TA 2854,TA 2945,Male,,,,Donnamira Took,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc45),Ivy (Goodenough) Boffin,http://lotr.wikia.com//wiki/Ivy_(Goodenough)_Boffin,Hobbit,"Late ,Third Age",Late Third Age,Female,,,,Buffo Boffin,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc46),Basso Boffin,http://lotr.wikia.com//wiki/Basso_Boffin,Hobbit,TA 2769,,Male,,,,None,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc47),Otto Boffin,http://lotr.wikia.com//wiki/Otto_Boffin,Hobbit,TA 2812,TA 2900,Male,,,,Lavender Grubb,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc48),Rollo Boffin,http://lotr.wikia.com//wiki/Rollo_Boffin,Hobbit,TA 2860,,Male,,,,Lavender Grubb,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc49),Tosto Boffin,http://lotr.wikia.com//wiki/Tosto_Boffin,Hobbit,TA 2988,"Early-,Fourth Age",Male,,,,,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc4a),Vigo Boffin,http://lotr.wikia.com//wiki/Vigo_Boffin,Hobbit,,,,,,,,
ObjectId(5cd99d4bde30eff6ebccfc4b),Druda Burrows Boffin,http://lotr.wikia.com//wiki/Druda_Burrows_Boffin,Hobbit,"before ,TA 2860",,Female,,,,Rollo Boffin,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc4c),Filibert Bolger,http://lotr.wikia.com//wiki/Filibert_Bolger,Hobbit,TA 2942,FO 22,Male,Brown (movie),,,Poppy Chubb-Baggins,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc4d),Fredegar Bolger,http://lotr.wikia.com//wiki/Fredegar_Bolger,Hobbit,TA 2980,"Early ,Fourth Age",Male,,,,"unknown, possibly unmarried",Hobbits
ObjectId(5cd99d4bde30eff6ebccfc4e),Jessamine (Boffin) Bolger,http://lotr.wikia.com//wiki/Jessamine_(Boffin)_Bolger,Hobbit,TA 2897,"Late ,Third Age",Female,,,,Herugar Bolger,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc4f),Bofur,http://lotr.wikia.com//wiki/Bofur,Dwarf,TA 2843,,Male,Dark Brown (films),,,,Dwarves
ObjectId(5cd99d4bde30eff6ebccfc50),Odovacar Bolger,http://lotr.wikia.com//wiki/Odovacar_Bolger,Hobbit,TA 2935,FO 10,Male,,,,Rosamunda Took,Hobbits
ObjectId(5cd99d4bde30eff6ebccfc51),Rosamunda (Took) Bolger,http://lotr.wikia.com//wiki/Rosamunda_(Took)_Bolger,Hobbit,TA 2938,,Female,,,,Odovacar Bolger,Men
ObjectId(5cd99d4bde30eff6ebccfc52),Jago Boffin,http://lotr.wikia.com//wiki/Jago_Boffin,Hobbit,TA 2894,TA 2986,Male,,,,Unnamed wife,Hobbits
