,_id,Name,Url,Race,birth,death,gender,hair,height,realm,spouse,race
56,ObjectId(5cd99d4bde30eff6ebccfbf6),Arassuil,http://lotr.wikia.com//wiki/Arassuil,Human,TA 2628,TA 2784,Male,,,,Unnamed wife,Men
57,ObjectId(5cd99d4bde30eff6ebccfbf7),Araphor,http://lotr.wikia.com//wiki/Araphor,Human,TA 1391,TA 1589,Male,,,Arthedain,Unnamed wife,Men
58,ObjectId(5cd99d4bde30eff6ebccfbf8),Aratan,http://lotr.wikia.com//wiki/Aratan,Human,SA 3339,,Male,,,TA 2,"Unknown, possibly known",Men
59,ObjectId(5cd99d4bde30eff6ebccfbf9),Ardamir (son of Axantur),http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur),Human,SA 562,,Male,,,,,Men
60,ObjectId(5cd99d4bde30eff6ebccfbfa),Aredhel,http://lotr.wikia.com//wiki/Aredhel,Elf,YT 1362,FA 400,Female,Dark,Tall,,Eöl,Elves
61,ObjectId(5cd99d4bde30eff6ebccfbfb),Argeleb I,http://lotr.wikia.com//wiki/Argeleb_I,Human,TA 1226,TA 1356,Male,,,"Arthedain,Arnor",Unnamed wife,Men
62,ObjectId(5cd99d4bde30eff6ebccfbfc),Arminas,http://lotr.wikia.com//wiki/Arminas,Elf,,,Male,,,,,Elves
63,ObjectId(5cd99d4bde30eff6ebccfbfd),Arthad,http://lotr.wikia.com//wiki/Arthad,Human,"Late ,First Age",FA 460,Male,,,,,Men
64,ObjectId(5cd99d4bde30eff6ebccfbfe),Arvedui,http://lotr.wikia.com//wiki/Arvedui,Human,TA 1864,TA 1975,Male,,,Arthedain,Fíriel,Men
65,ObjectId(5cd99d4bde30eff6ebccfbff),Arvegil,http://lotr.wikia.com//wiki/Arvegil,Human,TA 1553,TA 1743,Male,,,"Arthedain,Arnor",Unnamed wife,Men
66,ObjectId(5cd99d4bde30eff6ebccfc00),Arveleg I,http://lotr.wikia.com//wiki/Arveleg_I,Human,TA 1309,TA 1409,Male,,,"Arnor,Arthedain",Unnamed wife,Men
67,ObjectId(5cd99d4bde30eff6ebccfc01),Arveleg II,http://lotr.wikia.com//wiki/Arveleg_II,Human,TA 1633,TA 1813,Male,,,"Arthedain,Arnor",Unnamed wife,Men
68,ObjectId(5cd99d4bde30eff6ebccfc02),Argon,http://lotr.wikia.com//wiki/Argon,Elf,Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,Possibly dark,Tall,,None,Elves
69,ObjectId(5cd99d4bde30eff6ebccfc03),Argonui,http://lotr.wikia.com//wiki/Argonui,Human,TA 2757,TA 2912,Male,,,,Unnamed wife,Men
70,ObjectId(5cd99d4bde30eff6ebccfc04),Argeleb II,http://lotr.wikia.com//wiki/Argeleb_II,Human,TA 1473,TA 1670,Male,,,Arthedain,Unnamed wife,Men
71,ObjectId(5cd99d4bde30eff6ebccfc05),Atanatar II,http://lotr.wikia.com//wiki/Atanatar_II,Human,TA 977,TA 1226,Male,,,Gondor,Unnamed wife,Men
72,ObjectId(5cd99d4bde30eff6ebccfc06),Atanalcar,http://lotr.wikia.com//wiki/Atanalcar,Human,"After ,SA 61","Early ,Second Age",Male,,,,Possible unnamed wife,Men
73,ObjectId(5cd99d4bde30eff6ebccfc07),Arwen,http://lotr.wikia.com//wiki/Arwen,Elf,TA 241,FO 121,Female,Black,,Reunited Kingdom,Aragorn II Elessar,"Half-elven,Men"
74,ObjectId(5cd99d4bde30eff6ebccfc08),Azaghâl,http://lotr.wikia.com//wiki/Azagh%C3%A2l,Dwarf,FA 214,FA 473,Male,,,,,Dwarves
75,ObjectId(5cd99d4bde30eff6ebccfc09),Aulendil (Vardamir's son),http://lotr.wikia.com//wiki/Aulendil_(Vardamir%27s_son),Human,SA 213,"Early ,Second Age",Male,,,,Unnamed wife,Men
76,ObjectId(5cd99d4bde30eff6ebccfc0a),Angelica Baggins,http://lotr.wikia.com//wiki/Angelica_Baggins,Hobbit,TA 2981,"Early-,Fourth Age",Female,Blonde,,,,Hobbit
77,ObjectId(5cd99d4bde30eff6ebccfc0b),Axantur,http://lotr.wikia.com//wiki/Axantur,Human,SA 395,,Male,,,,Unnamed wife,Men
78,ObjectId(5cd99d4bde30eff6ebccfc0c),Balbo Baggins,http://lotr.wikia.com//wiki/Balbo_Baggins,Hobbit,TA 2767,TA 2858,Male,,,,Berylla (Boffin) Baggins,Hobbits
79,ObjectId(5cd99d4bde30eff6ebccfc0d),Atanatar I,http://lotr.wikia.com//wiki/Atanatar_I,Human,TA 480,TA 748,Male,,,Gondor,Unnamed wife,Men
80,ObjectId(5cd99d4bde30eff6ebccfc0e),Belladonna (Took) Baggins,http://lotr.wikia.com//wiki/Belladonna_(Took)_Baggins,Hobbit,TA 2852,TA 2934,Female,Black,,,Bungo Baggins,Hobbits
81,ObjectId(5cd99d4bde30eff6ebccfc0f),Berylla (Boffin) Baggins,http://lotr.wikia.com//wiki/Berylla_(Boffin)_Baggins,Hobbit,TA 2772,TA 2871,Female,,,,Balbo Baggins,Hobbits
82,ObjectId(5cd99d4bde30eff6ebccfc10),Bungo Baggins,http://lotr.wikia.com//wiki/Bungo_Baggins,Hobbit,TA 2846,TA 2926,Male,,,,,Hobbit
83,ObjectId(5cd99d4bde30eff6ebccfc11),Dudo Baggins,http://lotr.wikia.com//wiki/Dudo_Baggins,Hobbit,TA 2911,TA 3009,Male,,,,Unnamed wife,Hobbits
84,ObjectId(5cd99d4bde30eff6ebccfc12),Laura (Grubb) Baggins,http://lotr.wikia.com//wiki/Laura_(Grubb)_Baggins,Hobbit,TA 2814,TA 2916,Female,,,,Mungo Baggins,Hobbits
85,ObjectId(5cd99d4bde30eff6ebccfc13),Fosco Baggins,http://lotr.wikia.com//wiki/Fosco_Baggins,Hobbit,TA 2864,TA 2960,male,,,,Ruby Bolger,Hobbits
86,ObjectId(5cd99d4bde30eff6ebccfc14),Drogo Baggins,http://lotr.wikia.com//wiki/Drogo_Baggins,Hobbit,TA 2908,TA 2980,Male,,,,Primula Brandybuck,Hobbits
87,ObjectId(5cd99d4bde30eff6ebccfc15),Frodo Baggins,http://lotr.wikia.com//wiki/Frodo_Baggins,Hobbit,"22 September ,TA 2968","Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",Male,Brown,"1.06m (3'6"")",,,Hobbit
88,ObjectId(5cd99d4bde30eff6ebccfc16),Longo Baggins,http://lotr.wikia.com//wiki/Longo_Baggins,Hobbit,TA 2860,TA 2950,Male,,,,Camellia (Sackville) Baggins,Hobbits
89,ObjectId(5cd99d4bde30eff6ebccfc17),Mungo Baggins,http://lotr.wikia.com//wiki/Mungo_Baggins,Hobbit,TA 2807,TA 2900,Male,,,,Laura Grubb,Hobbits
90,ObjectId(5cd99d4bde30eff6ebccfc18),Peony (Baggins) Burrows,http://lotr.wikia.com//wiki/Peony_(Baggins)_Burrows,Hobbit,TA 2950,,Female,,,,Milo Burrows,Hobbits
91,ObjectId(5cd99d4bde30eff6ebccfc19),Ponto Baggins,http://lotr.wikia.com//wiki/Ponto_Baggins,Hobbit,TA 2816,TA 2911,Male,,,,Mimosa Bunce,Hobbits
92,ObjectId(5cd99d4bde30eff6ebccfc1a),Ponto Baggins II,http://lotr.wikia.com//wiki/Ponto_Baggins_II,Hobbit,TA 2946,,Male,,,,Unnamed wife,Hobbits
93,ObjectId(5cd99d4bde30eff6ebccfc1b),Balin,http://lotr.wikia.com//wiki/Balin,Dwarf,TA 2763,TA 2994,Male,White,,,,Dwarves
94,ObjectId(5cd99d4bde30eff6ebccfc1c),Baragund,http://lotr.wikia.com//wiki/Baragund,Human,FA 420,FA 460,Male,,,,Unnamed wife,Men
95,ObjectId(5cd99d4bde30eff6ebccfc1d),Porto Baggins,http://lotr.wikia.com//wiki/Porto_Baggins,Hobbit,TA 2948,,Male,,,,,Hobbits
96,ObjectId(5cd99d4bde30eff6ebccfc1e),Baran,http://lotr.wikia.com//wiki/Baran,Human,FA 289,FA 380,Male,,,Estolad,Unnamed wife,Men
97,ObjectId(5cd99d4bde30eff6ebccfc1f),Bain,http://lotr.wikia.com//wiki/Bain,Human,TA 2925,TA 3007,Male,Brown (film),"1.76m / 5'9"" (film)",Dale,Unnamed wife,Men
98,ObjectId(5cd99d4bde30eff6ebccfc20),Baranor (Gondor),http://lotr.wikia.com//wiki/Baranor_(Gondor),Human,,,,,,,,
99,ObjectId(5cd99d4bde30eff6ebccfc21),Bard,http://lotr.wikia.com//wiki/Bard,Human,TA 2898,TA 2977,Male,Black (films),,Dale,Unnamed wife,Men
100,ObjectId(5cd99d4bde30eff6ebccfc22),Bard II,http://lotr.wikia.com//wiki/Bard_II,Human,TA 2985,"Early ,Fourth Age",Male,,"6'2""","Dale,Lake-town",,Men
101,ObjectId(5cd99d4bde30eff6ebccfc23),Beldir,http://lotr.wikia.com//wiki/Beldir,Human,FA 316,,Male,,,,Unnamed wife,Men
102,ObjectId(5cd99d4bde30eff6ebccfc24),Beldis,http://lotr.wikia.com//wiki/Beldis,Human,"Mid-,First Age",,Female,Brown,,,Handir,Men
103,ObjectId(5cd99d4bde30eff6ebccfc25),Barahir,http://lotr.wikia.com//wiki/Barahir,Human,FA 402,FA 460,Male,Possibly dark,,,Emeldir,Men
104,ObjectId(5cd99d4bde30eff6ebccfc26),Belecthor I,http://lotr.wikia.com//wiki/Belecthor_I,Human,TA 2545,TA 2655,Male,,,,Unnamed wife,Men
105,ObjectId(5cd99d4bde30eff6ebccfc27),Beleg of Arnor,http://lotr.wikia.com//wiki/Beleg_of_Arnor,Human,TA 811,TA 1029,Male,,,"Arnor,Arthedain",Unnamed wife,Men
106,ObjectId(5cd99d4bde30eff6ebccfc28),Belegorn,http://lotr.wikia.com//wiki/Belegorn,Human,TA 2074,TA 2204,Male,,,,Unnamed wife,Men
107,ObjectId(5cd99d4bde30eff6ebccfc29),Belegund,http://lotr.wikia.com//wiki/Belegund,Human,"Late ,First Age",FA 460,Male,,,,Unnamed wife,Men
108,ObjectId(5cd99d4bde30eff6ebccfc2a),Belemir,http://lotr.wikia.com//wiki/Belemir,Human,FA 339,,Male,,,,Adanel,Men
109,ObjectId(5cd99d4bde30eff6ebccfc2b),Belen,http://lotr.wikia.com//wiki/Belen,Human,FA 292,,Male,,,,Unnamed wife,Men
110,ObjectId(5cd99d4bde30eff6ebccfc2c),Beorn,http://lotr.wikia.com//wiki/Beorn,Human,,"Before the ,War of the Ring",Male,Black,Tall,,,Skin-changer
111,ObjectId(5cd99d4bde30eff6ebccfc2d),Bereg,http://lotr.wikia.com//wiki/Bereg,Human,FA 340,,Male,,,,,Men
112,ObjectId(5cd99d4bde30eff6ebccfc2e),Beregond,http://lotr.wikia.com//wiki/Beregond,Human,TA 2700,TA 2811,Male,,,,Unnamed wife,Men
113,ObjectId(5cd99d4bde30eff6ebccfc2f),Beregond (Captain),http://lotr.wikia.com//wiki/Beregond_(Captain),Human,TA 2976,Fourth Age,Male,,,,Unnamed wife,Men
114,ObjectId(5cd99d4bde30eff6ebccfc30),Berelach,http://lotr.wikia.com//wiki/Berelach,Human,"Early ,Fourth Age",,Male,,,,,Men
115,ObjectId(5cd99d4bde30eff6ebccfc31),Beren,http://lotr.wikia.com//wiki/Beren,Human,FA 432,FA 466,Male,Dark,Tall,,Lúthien Tinúviel,Men
116,ObjectId(5cd99d4bde30eff6ebccfc32),Baranor,http://lotr.wikia.com//wiki/Baranor,Human,FA 317,,Male,,,,Unnamed wife,Men
117,ObjectId(5cd99d4bde30eff6ebccfc33),Beren (Steward),http://lotr.wikia.com//wiki/Beren_(Steward),Human,TA 2655,TA 2763,Male,,,,Unnamed wife,Men
118,ObjectId(5cd99d4bde30eff6ebccfc34),Beren (Belemir's son),http://lotr.wikia.com//wiki/Beren_(Belemir%27s_son),Human,"Mid ,First Age",,Male,,,,Unnamed wife,Men
119,ObjectId(5cd99d4bde30eff6ebccfc35),Bergil,http://lotr.wikia.com//wiki/Bergil,Human,TA 3009,,Male,,,,,Men
120,ObjectId(5cd99d4bde30eff6ebccfc36),Barahir (Steward),http://lotr.wikia.com//wiki/Barahir_(Steward),Human,TA 2290,TA 2412,Male,,,Gondor,Unnamed wife,Men
121,ObjectId(5cd99d4bde30eff6ebccfc37),Bifur,http://lotr.wikia.com//wiki/Bifur,Dwarf,TA 2814,UnknownFourth Age,Male,Black/ Grey (film),"4'5"" (film)",,,Dwarves
122,ObjectId(5cd99d4bde30eff6ebccfc38),Bilbo Baggins,http://lotr.wikia.com//wiki/Bilbo_Baggins,Hobbit,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",,None,Hobbits
123,ObjectId(5cd99d4bde30eff6ebccfc39),Bladorthin,http://lotr.wikia.com//wiki/Bladorthin,Human,,Late Third Age ,Male,,,"Lake-town,Dale,Rhûn,Dorwinion",,Men
124,ObjectId(5cd99d4bde30eff6ebccfc3a),Black Serpent,http://lotr.wikia.com//wiki/Black_Serpent,Human,"Late ,Third Age","March 15 ,3019",Male,,,,,Men
125,ObjectId(5cd99d4bde30eff6ebccfc3b),Blanco,http://lotr.wikia.com//wiki/Blanco,Hobbit,TA 1560,"Sometime after ,TA 1601",Male,,,,,Hobbits
126,ObjectId(5cd99d4bde30eff6ebccfc3c),Belecthor II,http://lotr.wikia.com//wiki/Belecthor_II,Human,TA 2752,TA 2872,Male,,,,Unnamed wife,Men
127,ObjectId(5cd99d4bde30eff6ebccfc3d),Bob,http://lotr.wikia.com//wiki/Bob,Hobbit,"Late ,Third Age","Early ,Fourth Age",Male,,,,,Hobbits
128,ObjectId(5cd99d4bde30eff6ebccfc3e),Donnamira (Took) Boffin,http://lotr.wikia.com//wiki/Donnamira_(Took)_Boffin,Hobbit,TA 2856,TA 2948,Female,,,,Hugo Boffin,Hobbits
129,ObjectId(5cd99d4bde30eff6ebccfc3f),Daisy (Baggins) Boffin,http://lotr.wikia.com//wiki/Daisy_(Baggins)_Boffin,Hobbit,TA 2950,,Female,,,,Griffo Boffin,Hobbits
130,ObjectId(5cd99d4bde30eff6ebccfc40),Bosco Boffin,http://lotr.wikia.com//wiki/Bosco_Boffin,Hobbit,TA 2767,TA 2858,Male,,,,Unnamed wife,Hobbits
131,ObjectId(5cd99d4bde30eff6ebccfc41),Folco Boffin,http://lotr.wikia.com//wiki/Folco_Boffin,Hobbit,TA 2978,"Early ,Fourth Age",Male,,,,,Hobbits
132,ObjectId(5cd99d4bde30eff6ebccfc42),Gerda (Boffin) Bolger,http://lotr.wikia.com//wiki/Gerda_(Boffin)_Bolger,Hobbit,TA 2904,TA 3004,Female,,,,Adalbert Bolger,Hobbits
133,ObjectId(5cd99d4bde30eff6ebccfc43),Griffo Boffin,http://lotr.wikia.com//wiki/Griffo_Boffin,Hobbit,TA 2946,,Male,,,,Daisy Baggins,Hobbits
134,ObjectId(5cd99d4bde30eff6ebccfc44),Hugo Boffin,http://lotr.wikia.com//wiki/Hugo_Boffin,Hobbit,TA 2854,TA 2945,Male,,,,Donnamira Took,Hobbits
135,ObjectId(5cd99d4bde30eff6ebccfc45),Ivy (Goodenough) Boffin,http://lotr.wikia.com//wiki/Ivy_(Goodenough)_Boffin,Hobbit,"Late ,Third Age",Late Third Age ,Female,,,,Buffo Boffin,Hobbits
136,ObjectId(5cd99d4bde30eff6ebccfc46),Basso Boffin,http://lotr.wikia.com//wiki/Basso_Boffin,Hobbit,TA 2769,,Male,,,,None,Hobbits
137,ObjectId(5cd99d4bde30eff6ebccfc47),Otto Boffin,http://lotr.wikia.com//wiki/Otto_Boffin,Hobbit,TA 2812,TA 2900,Male,,,,Lavender Grubb,Hobbits
138,ObjectId(5cd99d4bde30eff6ebccfc48),Rollo Boffin,http://lotr.wikia.com//wiki/Rollo_Boffin,Hobbit,TA 2860,,Male,,,,Lavender Grubb,Hobbits
139,ObjectId(5cd99d4bde30eff6ebccfc49),Tosto Boffin,http://lotr.wikia.com//wiki/Tosto_Boffin,Hobbit,TA 2988,"Early-,Fourth Age",Male,,,,,Hobbits
140,ObjectId(5cd99d4bde30eff6ebccfc4a),Vigo Boffin,http://lotr.wikia.com//wiki/Vigo_Boffin,Hobbit,,,,,,,,
141,ObjectId(5cd99d4bde30eff6ebccfc4b),Druda Burrows Boffin,http://lotr.wikia.com//wiki/Druda_Burrows_Boffin,Hobbit,"before ,TA 2860",,Female,,,,Rollo Boffin,Hobbits
142,ObjectId(5cd99d4bde30eff6ebccfc4c),Filibert Bolger,http://lotr.wikia.com//wiki/Filibert_Bolger,Hobbit,TA 2942,FO 22,Male,Brown (movie),,,Poppy Chubb-Baggins,Hobbits
143,ObjectId(5cd99d4bde30eff6ebccfc4d),Fredegar Bolger,http://lotr.wikia.com//wiki/Fredegar_Bolger,Hobbit,TA 2980,"Early ,Fourth Age",Male,,,,"unknown, possibly unmarried",Hobbits
144,ObjectId(5cd99d4bde30eff6ebccfc4e),Jessamine (Boffin) Bolger,http://lotr.wikia.com//wiki/Jessamine_(Boffin)_Bolger,Hobbit,TA 2897,"Late ,Third Age",Female,,,,Herugar Bolger,Hobbits
145,ObjectId(5cd99d4bde30eff6ebccfc4f),Bofur,http://lotr.wikia.com//wiki/Bofur,Dwarf,TA 2843,,Male,Dark Brown (films),,,,Dwarves
146,ObjectId(5cd99d4bde30eff6ebccfc50),Odovacar Bolger,http://lotr.wikia.com//wiki/Odovacar_Bolger,Hobbit,TA 2935,FO 10,Male,,,,Rosamunda Took,Hobbits
